ï»¿Contact_Name,Contact_Email,Contact_Affiliation,Metadata_Provider_Name,Location_ID,Location_Name,Location_Alias,Location_Activity,Location_Category,Measurement_Categories,Years_Data_Collected,Research_Theme,Description,Geographic_Region,Parent_Location_ID,Latitude,Longitude,Lat_Long_Measurement_Method,Topographical_Elevation,Topo_Elev_Measurement_Method,Depth_Profile_Elevations,Instrumentation,Variables_Measured,Related_Reference,Location_Metadata_Version
Tetsu Tokunaga,tktokunaga@lbl.gov,LBNL,Tetsu Tokunaga,ER-PLM0,Hillslope auger soil samples,N/A,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,2016,Subsurface water and carbon inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",PH,PH,38.919500,-106.949646,N/A,2803.56,LIDAR,soils samples down to -0.90m below surface,"Borehole with Gas Samplers, Water Samplers,Soil Moisture sensors (Matric Potential, TDR), thermistors, piezometer. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11bl9FbTVYT0R4UUE"">here</a> for drilling log. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11T3NuVFZZck1NNDQ"">here</a> for instrumentation depths.",Soil/sediment Temperature; matric potentials; water levels; hydraulic potentials; water content changes; pore water chemical composition; pore gas composition; surface soil CO2 fluxes,N/A,1.0
Tetsu Tokunaga,tktokunaga@lbl.gov,LBNL,Tetsu Tokunaga,ER-PLM1,Hillslope Borehole (M1),N/A,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Dec 2016-Present (as of Dec 2020),Subsurface water and carbon inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",PH,PH,38.919771,-106.949273,N/A,2787.16,LIDAR,"-0.30m(PW,PG,T,VWC,matric,EC), -0.58m(PW,PG,T,VWC,matric,EC), -1.05m(PW,PG,T,VWC,matric,EC), -2.05m(PW,PG,T,VWC,matric,EC), -3.60m(PW,PG,T,VWC,matric,EC), -4.72m(PW,T,VWC,matric,EC), -5.40m(PW), -6.89m(PW,piezometer)","Borehole with Gas Samplers, Water Samplers,Soil Moisture sensors (Matric Potential, TDR), thermistors, piezometer. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11bl9FbTVYT0R4UUE"">here</a> for drilling log. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11T3NuVFZZck1NNDQ"">here</a> for instrumentation depths.",Soil/sediment Temperature; matric potentials; water levels; hydraulic potentials; water content changes; pore water chemical composition; pore gas composition; surface soil CO2 fluxes,N/A,1.0
Tetsu Tokunaga,tktokunaga@lbl.gov,LBNL,Tetsu Tokunaga,ER-PLM2,Hillslope Borehole (M2),N/A,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Dec 2016-Present (as of Dec 2020),Subsurface water and carbon inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",PH,PH,38.920157,-106.948714,N/A,2777.25,LIDAR,"-0.28m(PW,PG,T,VWC,matric,EC), -0.40m(PW,PG,T,VWC,matric,EC), -0.55m(PW,PG,T,VWC,matric,EC), -1.00m(PW,PG,T,VWC,matric,EC), -1.70m(PW,PG,T,VWC,matric,EC), -2.65m(PW,T,matric), -3.80m(PW,T,VWC,matric,EC), -4.62m(PW,T,matric), -8.20m(PW)","Borehole with Gas Samplers, Water Samplers,Soil Moisture sensors (Matric Potential, TDR), thermistors. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11SHprMkd0a2ZWUUU"">here</a> for drilling log. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11T3NuVFZZck1NNDQ"">here</a> for instrumentation depths.",Soil/sediment Temperature; matric potentials; hydraulic potentials; water content changes; pore water chemical composition; pore gas composition; surface soil CO2 fluxes,N/A,1.0
Tetsu Tokunaga,tktokunaga@lbl.gov,LBNL,Tetsu Tokunaga,ER-PLM3,Hillslope Borehole (M3),N/A,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Dec 2016-Present (as of Dec 2020),Subsurface water and carbon inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",PH,PH,38.920784,-106.948367,N/A,2759.69,LIDAR,"-0.20m(PW,PG,T,VWC,matric,EC), -0.41m(PW,PG,T,VWC,matric,EC), -62m(PW,PG,T,VWC,matric,EC), -1.00m(PW,PG,T,VWC,matric,EC), -2.06m(PW,PG,T,VWC,matric,EC), -3.70m(PW,PG,T,matric), -4.85m(PW), -6.50m(PW), -7.80m(PW)","Borehole with Gas Samplers, Water Samplers,Soil Moisture sensors (Matric Potential, TDR), thermistors. Click <a href=""https://drive.google.com/file/d/0B5RSGI83Og11Y3RkM0JQNXJDUmc/view?usp=sharing"">here</a> for drilling log. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11T3NuVFZZck1NNDQ"">here</a> for instrumentation depths.",Soil/sediment Temperature; matric potentials; hydraulic potentials; water content changes; pore water chemical composition; pore gas composition; surface soil CO2 fluxes,N/A,1.0
Tetsu Tokunaga,tktokunaga@lbl.gov,LBNL,Tetsu Tokunaga,ER-PLM4,Hillslope monitoring site (M4),N/A,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Dec 2016-Present (as of Dec 2020),Subsurface water and carbon inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",PH,PH,38.921006,-106.947953,N/A,2757.43,LIDAR,"-0.20m(PW,PG,T,VWC,matric,EC), -0.40m(PW,PG,T,VWC,matric,EC), -0.67m(PW,PG,T,VWC,matric,EC), -1.02m(PW), -1.28m(PW)","Shallow Gas Samplers, Water Samplers,Soil Moisture sensors (Matric Potential, TDR), thermistors individually installed (no borehole). Click <a href=""hhttps://drive.google.com/file/d/0B5RSGI83Og11TkZlUFM5a1ctQ00/view?usp=sharing"">here</a> for drilling log. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11T3NuVFZZck1NNDQ"">here</a> for instrumentation depths.",Soil/sediment Temperature; matric potentials; hydraulic potentials; water content changes; pore water chemical composition; pore gas composition; surface soil CO2 fluxes,N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-PLM5,Hillslope well (PLM5),PLM5,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,2020-Present (as of Dec 2020),Deep shale bedrock hydrology and geochemistry,Hillslope drilling location used to collect continuous core over the 0 to 10-m depth interval and to install a groundwater monitoring well used to measure sesonal variations in groundwater elevation and solute composition. Groundwater sampling depth is 7.6-m below ground surface.,PH,PH,38.919939,-106.949008,Trimble GPS,2783.11,LIDAR,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,2.0
Tetsu Tokunaga,tktokunaga@lbl.gov,LBNL,Tetsu Tokunaga,ER-PLM6,Hillslope well (M6),N/A,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Dec 2016-Present (as of Dec 2020),Subsurface water and carbon inventories and fluxes,Hillslope drilling location used to collect continuous core over the 0 to 10-m depth interval and to install a groundwater monitoring well used to measure sesonal variations in groundwater elevation and solute composition. Groundwater sampling depth is 7.6-m below ground surface.,PH,PH,38.920798,-106.948433,N/A,2759.65,LIDAR,"piezometer,T,SC","Shallow groundwater monitoring well. Click <a href=""https://drive.google.com/open?id=0B5RSGI83Og11VklCVlRwbnFzZmRXcXlPWWpmWi1PQ2pnSExF"">here</a> for borehole log.",Water Level; Electrical Conductivity (EC);,N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-PLM7,Hillslope well (PLM7),PLM7,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,2020-Present (as of Dec 2020),Deep shale bedrock hydrology and geochemistry,"Hillslope drilling location used to install a 70-m, 3"" screened borehole for hydrologic testing and moniotirng and geochemical sampling.",PH,PH,38.919904,-106.948950,Trimble GPS,2782.86,LIDAR,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-PLM8,Hillslope well (PLM8),PLM8,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,2020-Present (as of Dec 2020),Deep shale bedrock hydrology and geochemistry,"Hillslope drilling location used to collect continuous core over the 3-22m depth interval and installation of a 3"" screened borehole for hydrologic testing and moniotirng and geochemical sampling.",PH,PH,38.922566,-106.947108,Trimble GPS,2760.84,LIDAR,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-PLM9,Hillslope well (PLM9),PLM9,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,2020-Present (as of Dec 2020),Deep shale bedrock hydrology and geochemistry,"Hillslope drilling location used to collect continuous core over the 3-22m depth interval and installation of a 3"" screened borehole for hydrologic testing and moniotirng and geochemical sampling.",PH,PH,38.922557,-106.947084,Trimble GPS,2760.85,LIDAR,N/A,Shallow groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,2.0
