DateTime,Moisture_m3/m3_50cm,Tempearture_C_50cm,EC_mS/cm_50cm,Moisture_m3/m3_10cm,Tempearture_C_10cm,EC_mS/cm_10cm
11/6/2016 12:00:00 AM,0.31038,4.1,0.2,0.2928,4.2,0.28
11/6/2016 6:00:00 AM,0.31066,4.2,0.21,0.2925,3.4,0.28
11/6/2016 12:00:00 PM,0.31066,4.2,0.21,0.29368,3.3,0.28
11/6/2016 6:00:00 PM,0.31066,4.2,0.21,0.29516,5.3,0.28
11/7/2016 12:00:00 AM,0.31094,4.2,0.21,0.29545,4.2,0.29
11/7/2016 6:00:00 AM,0.31094,4.3,0.21,0.29486,2.8,0.29
11/7/2016 12:00:00 PM,0.31094,4.3,0.21,0.29427,2.2,0.29
11/7/2016 6:00:00 PM,0.31094,4.3,0.21,0.29486,2.9,0.28
11/8/2016 12:00:00 AM,0.31121,4.2,0.21,0.29457,2.8,0.29
11/8/2016 6:00:00 AM,0.31121,4.2,0.21,0.29427,2.1,0.29
11/8/2016 12:00:00 PM,0.31149,4.2,0.21,0.29309,1.6,0.29
11/8/2016 6:00:00 PM,0.31149,4.1,0.21,0.29368,2,0.28
11/9/2016 12:00:00 AM,0.31149,4.1,0.2,0.29427,2.3,0.28
11/9/2016 6:00:00 AM,0.31149,4,0.21,0.29339,1.8,0.28
11/9/2016 12:00:00 PM,0.31149,3.9,0.21,0.2922,1.4,0.28
11/9/2016 6:00:00 PM,0.31149,3.9,0.21,0.2928,1.7,0.28
11/10/2016 12:00:00 AM,0.31149,3.9,0.2,0.29309,1.9,0.28
11/10/2016 6:00:00 AM,0.31149,3.8,0.21,0.2925,1.6,0.28
11/10/2016 12:00:00 PM,0.31177,3.8,0.21,0.29101,1.2,0.28
11/10/2016 6:00:00 PM,0.31177,3.7,0.21,0.29191,1.5,0.28
11/11/2016 12:00:00 AM,0.31177,3.7,0.21,0.2922,1.7,0.28
11/11/2016 6:00:00 AM,0.31205,3.6,0.21,0.29161,1.4,0.28
11/11/2016 12:00:00 PM,0.31205,3.6,0.21,0.29071,1.1,0.28
11/11/2016 6:00:00 PM,0.31205,3.6,0.21,0.29101,1.3,0.28
11/12/2016 12:00:00 AM,0.31205,3.5,0.21,0.29071,1.5,0.28
11/12/2016 6:00:00 AM,0.31205,3.5,0.21,0.29012,1.3,0.28
11/12/2016 12:00:00 PM,0.31205,3.5,0.21,0.28952,1,0.28
11/12/2016 6:00:00 PM,0.31205,3.4,0.21,0.28982,1.1,0.28
11/13/2016 12:00:00 AM,0.31205,3.4,0.21,0.29012,1.2,0.28
11/13/2016 6:00:00 AM,0.31233,3.4,0.21,0.28922,1.1,0.28
11/13/2016 12:00:00 PM,0.31233,3.3,0.21,0.28862,0.9,0.28
11/13/2016 6:00:00 PM,0.31233,3.2,0.21,0.28892,1,0.28
11/14/2016 12:00:00 AM,0.31233,3.2,0.21,0.28862,1,0.28
11/14/2016 6:00:00 AM,0.31261,3.2,0.21,0.28711,0.8,0.28
11/14/2016 12:00:00 PM,0.31261,3.2,0.21,0.285,0.6,0.28
11/14/2016 6:00:00 PM,0.31261,3.1,0.21,0.28469,0.6,0.28
11/15/2016 12:00:00 AM,0.31261,3.1,0.21,0.285,0.8,0.28
11/15/2016 6:00:00 AM,0.31261,3,0.21,0.28439,0.8,0.28
11/15/2016 12:00:00 PM,0.31261,3,0.21,0.28286,0.6,0.28
11/15/2016 6:00:00 PM,0.31261,3,0.21,0.28317,0.6,0.28
11/16/2016 12:00:00 AM,0.31261,3,0.21,0.28317,0.8,0.27
11/16/2016 6:00:00 AM,0.31289,2.9,0.21,0.28225,0.7,0.28
11/16/2016 12:00:00 PM,0.31289,2.9,0.21,0.28103,0.6,0.28
11/16/2016 6:00:00 PM,0.31289,2.9,0.21,0.28195,0.6,0.27
11/17/2016 12:00:00 AM,0.31289,2.9,0.21,0.28164,0.7,0.27
11/17/2016 6:00:00 AM,0.31289,2.8,0.21,0.28195,0.8,0.27
11/17/2016 12:00:00 PM,0.31289,2.8,0.21,0.28195,0.8,0.27
11/17/2016 6:00:00 PM,0.31289,2.8,0.21,0.28225,0.8,0.27
11/18/2016 12:00:00 AM,0.31289,2.8,0.21,0.28256,0.8,0.27
11/18/2016 6:00:00 AM,0.31289,2.8,0.21,0.28256,0.8,0.27
11/18/2016 12:00:00 PM,0.31289,2.8,0.21,0.28225,0.7,0.27
11/18/2016 6:00:00 PM,0.31289,2.7,0.21,0.28164,0.6,0.27
11/19/2016 12:00:00 AM,0.31289,2.7,0.21,0.28072,0.7,0.27
11/19/2016 6:00:00 AM,0.31289,2.7,0.21,0.27949,0.6,0.27
11/19/2016 12:00:00 PM,0.31316,2.7,0.21,0.27701,0.5,0.27
11/19/2016 6:00:00 PM,0.31316,2.7,0.21,0.2767,0.5,0.27
11/20/2016 12:00:00 AM,0.31316,2.7,0.21,0.27732,0.6,0.27
11/20/2016 6:00:00 AM,0.31316,2.6,0.21,0.2767,0.6,0.27
11/20/2016 12:00:00 PM,0.31344,2.6,0.21,0.27607,0.6,0.26
11/20/2016 6:00:00 PM,0.31344,2.6,0.21,0.27763,0.6,0.26
11/21/2016 12:00:00 AM,0.31344,2.6,0.21,0.27887,0.6,0.27
11/21/2016 6:00:00 AM,0.31344,2.5,0.21,0.27887,0.6,0.27
11/21/2016 12:00:00 PM,0.31344,2.5,0.21,0.2798,0.6,0.27
11/21/2016 6:00:00 PM,0.31316,2.5,0.21,0.28651,0.6,0.28
11/22/2016 12:00:00 AM,0.31261,2.5,0.21,0.31427,0.6,0.34
11/22/2016 6:00:00 AM,0.31261,2.5,0.21,0.31921,0.7,0.34
11/22/2016 12:00:00 PM,0.31261,2.5,0.21,0.31757,0.7,0.33
11/22/2016 6:00:00 PM,0.31149,2.5,0.21,0.35724,0.7,0.31
11/23/2016 12:00:00 AM,0.31149,2.5,0.21,0.35054,0.8,0.24
11/23/2016 6:00:00 AM,0.31205,2.4,0.21,0.33352,0.8,0.24
11/23/2016 12:00:00 PM,0.31205,2.4,0.21,0.32566,0.7,0.25
11/23/2016 6:00:00 PM,0.31233,2.4,0.21,0.32272,0.7,0.25
11/24/2016 12:00:00 AM,0.31233,2.4,0.21,0.32002,0.7,0.25
11/24/2016 6:00:00 AM,0.31261,2.4,0.21,0.31647,0.6,0.25
11/24/2016 12:00:00 PM,0.31261,2.4,0.21,0.31372,0.6,0.25
11/24/2016 6:00:00 PM,0.31261,2.4,0.21,0.31149,0.6,0.25
11/25/2016 12:00:00 AM,0.31261,2.4,0.21,0.30981,0.6,0.25
11/25/2016 6:00:00 AM,0.31289,2.4,0.21,0.30813,0.5,0.25
11/25/2016 12:00:00 PM,0.31344,2.4,0.21,0.30358,0.3,0.24
11/25/2016 6:00:00 PM,0.31344,2.4,0.21,0.29457,0.3,0.23
11/26/2016 12:00:00 AM,0.31344,2.4,0.21,0.28922,0.3,0.23
11/26/2016 6:00:00 AM,0.31372,2.3,0.21,0.27763,0.1,0.22
11/26/2016 12:00:00 PM,0.31399,2.3,0.21,0.25321,-0.1,0.19
11/26/2016 6:00:00 PM,0.31399,2.3,0.21,0.22812,0,0.15
11/27/2016 12:00:00 AM,0.31399,2.2,0.21,0.2242,0.1,0.14
11/27/2016 6:00:00 AM,0.31399,2.2,0.21,0.21915,0.1,0.14
11/27/2016 12:00:00 PM,0.31399,2.2,0.21,0.21951,0.1,0.14
11/27/2016 6:00:00 PM,0.31399,2.2,0.21,0.22204,0.2,0.14
11/28/2016 12:00:00 AM,0.31399,2.1,0.21,0.22599,0.2,0.14
11/28/2016 6:00:00 AM,0.31399,2.1,0.21,0.23095,0.2,0.15
11/28/2016 12:00:00 PM,0.31399,2.1,0.21,0.23655,0.3,0.15
11/28/2016 6:00:00 PM,0.31399,2.1,0.21,0.24276,0.3,0.16
11/29/2016 12:00:00 AM,0.31399,2.1,0.21,0.24886,0.3,0.17
11/29/2016 6:00:00 AM,0.31399,2.1,0.21,0.2552,0.3,0.19
11/29/2016 12:00:00 PM,0.31399,2.1,0.21,0.2611,0.3,0.2
11/29/2016 6:00:00 PM,0.31399,2.1,0.21,0.26563,0.3,0.22
11/30/2016 12:00:00 AM,0.31399,2.1,0.21,0.26659,0.3,0.22
11/30/2016 6:00:00 AM,0.31399,2.1,0.21,0.26723,0.3,0.22
11/30/2016 12:00:00 PM,0.31399,2.1,0.21,0.26627,0.3,0.23
11/30/2016 6:00:00 PM,0.31399,2.1,0.21,0.26208,0.2,0.22
12/1/2016 12:00:00 AM,0.31399,2.1,0.21,0.25751,0.2,0.22
12/1/2016 6:00:00 AM,0.31399,2,0.21,0.25354,0.2,0.21
12/1/2016 12:00:00 PM,0.31399,2,0.21,0.24852,0.1,0.2
12/1/2016 6:00:00 PM,0.31399,2,0.21,0.24241,0.1,0.19
12/2/2016 12:00:00 AM,0.31399,2,0.21,0.23898,0.2,0.18
12/2/2016 6:00:00 AM,0.31399,2,0.21,0.23863,0.2,0.17
12/2/2016 12:00:00 PM,0.31399,2,0.21,0.23828,0.2,0.17
12/2/2016 6:00:00 PM,0.31399,2,0.21,0.23759,0.2,0.16
12/3/2016 12:00:00 AM,0.31399,2,0.21,0.23759,0.2,0.16
12/3/2016 6:00:00 AM,0.31399,2,0.21,0.23863,0.2,0.16
12/3/2016 12:00:00 PM,0.31399,1.9,0.21,0.24001,0.2,0.16
12/3/2016 6:00:00 PM,0.31399,1.9,0.21,0.24139,0.3,0.17
12/4/2016 12:00:00 AM,0.31399,1.9,0.21,0.2431,0.3,0.17
12/4/2016 6:00:00 AM,0.31399,1.9,0.21,0.24446,0.3,0.17
12/4/2016 12:00:00 PM,0.31399,1.9,0.21,0.24378,0.2,0.17
12/4/2016 6:00:00 PM,0.31427,1.9,0.21,0.24001,0.1,0.16
12/5/2016 12:00:00 AM,0.31427,1.9,0.21,0.23411,0.1,0.15
12/5/2016 6:00:00 AM,0.31427,1.9,0.21,0.22989,0.1,0.14
12/5/2016 12:00:00 PM,0.31427,1.9,0.21,0.22848,0.2,0.14
12/5/2016 6:00:00 PM,0.31427,1.9,0.21,0.22812,0.2,0.13
12/6/2016 12:00:00 AM,0.31427,1.9,0.21,0.22919,0.2,0.14
12/6/2016 6:00:00 AM,0.31427,1.9,0.21,0.2306,0.2,0.14
12/6/2016 12:00:00 PM,0.31427,1.9,0.21,0.23166,0.2,0.14
12/6/2016 6:00:00 PM,0.31427,1.9,0.21,0.23201,0.2,0.14
12/7/2016 12:00:00 AM,0.31427,1.9,0.21,0.2313,0.2,0.14
12/7/2016 6:00:00 AM,0.31427,1.9,0.21,0.23166,0.2,0.14
12/7/2016 12:00:00 PM,0.31427,1.9,0.21,0.23236,0.2,0.14
12/7/2016 6:00:00 PM,0.31427,1.9,0.21,0.23306,0.2,0.14
12/8/2016 12:00:00 AM,0.31427,1.8,0.21,0.23376,0.3,0.14
12/8/2016 6:00:00 AM,0.31427,1.8,0.21,0.23411,0.2,0.14
12/8/2016 12:00:00 PM,0.31427,1.8,0.21,0.23236,0.2,0.14
12/8/2016 6:00:00 PM,0.31427,1.8,0.21,0.22777,0.1,0.13
12/9/2016 12:00:00 AM,0.31427,1.8,0.21,0.2224,0.1,0.12
12/9/2016 6:00:00 AM,0.31427,1.8,0.21,0.21915,0.1,0.12
12/9/2016 12:00:00 PM,0.31427,1.8,0.21,0.21733,0.1,0.12
12/9/2016 6:00:00 PM,0.31427,1.8,0.21,0.21697,0.2,0.12
12/10/2016 12:00:00 AM,0.31427,1.8,0.21,0.21697,0.2,0.12
12/10/2016 6:00:00 AM,0.31427,1.8,0.21,0.2177,0.2,0.12
12/10/2016 12:00:00 PM,0.31427,1.8,0.21,0.21879,0.2,0.12
12/10/2016 6:00:00 PM,0.31427,1.8,0.21,0.21988,0.2,0.12
12/11/2016 12:00:00 AM,0.31427,1.8,0.21,0.22132,0.2,0.12
12/11/2016 6:00:00 AM,0.31427,1.8,0.21,0.22276,0.3,0.12
12/11/2016 12:00:00 PM,0.31427,1.8,0.21,0.22456,0.3,0.13
12/11/2016 6:00:00 PM,0.31427,1.8,0.21,0.2267,0.3,0.13
12/12/2016 12:00:00 AM,0.31427,1.8,0.21,0.22919,0.3,0.13
12/12/2016 6:00:00 AM,0.31427,1.8,0.21,0.23201,0.3,0.14
12/12/2016 12:00:00 PM,0.31372,1.8,0.21,0.23481,0.3,0.14
12/12/2016 6:00:00 PM,0.31372,1.8,0.21,0.23794,0.3,0.15
12/13/2016 12:00:00 AM,0.31372,1.8,0.21,0.24139,0.3,0.15
12/13/2016 6:00:00 AM,0.31372,1.8,0.21,0.2448,0.3,0.16
12/13/2016 12:00:00 PM,0.31372,1.8,0.21,0.24819,0.3,0.17
12/13/2016 6:00:00 PM,0.31372,1.8,0.21,0.25154,0.3,0.18
12/14/2016 12:00:00 AM,0.31372,1.8,0.21,0.2552,0.3,0.2
12/14/2016 6:00:00 AM,0.31372,1.7,0.21,0.25849,0.3,0.21
12/14/2016 12:00:00 PM,0.31372,1.7,0.21,0.26175,0.3,0.21
12/14/2016 6:00:00 PM,0.31372,1.7,0.21,0.26466,0.3,0.22
12/15/2016 12:00:00 AM,0.31372,1.7,0.21,0.26787,0.3,0.22
12/15/2016 6:00:00 AM,0.31372,1.7,0.21,0.27042,0.3,0.23
12/15/2016 12:00:00 PM,0.31372,1.7,0.21,0.272,0.3,0.23
12/15/2016 6:00:00 PM,0.31372,1.7,0.21,0.27357,0.3,0.23
12/16/2016 12:00:00 AM,0.31372,1.7,0.21,0.27545,0.3,0.24
12/16/2016 6:00:00 AM,0.31372,1.7,0.21,0.27732,0.3,0.24
12/16/2016 12:00:00 PM,0.31372,1.7,0.21,0.27887,0.3,0.24
12/16/2016 6:00:00 PM,0.31372,1.7,0.21,0.28041,0.3,0.24
12/17/2016 12:00:00 AM,0.31372,1.7,0.21,0.28164,0.3,0.24
12/17/2016 6:00:00 AM,0.31372,1.7,0.21,0.28317,0.3,0.24
12/17/2016 12:00:00 PM,0.31372,1.7,0.21,0.28439,0.3,0.24
12/17/2016 6:00:00 PM,0.31372,1.7,0.21,0.2853,0.3,0.25
12/18/2016 12:00:00 AM,0.31372,1.7,0.21,0.28651,0.3,0.25
12/18/2016 6:00:00 AM,0.31372,1.7,0.21,0.28772,0.3,0.25
12/18/2016 12:00:00 PM,0.31372,1.7,0.21,0.28862,0.3,0.25
12/18/2016 6:00:00 PM,0.31372,1.7,0.21,0.28982,0.3,0.25
12/19/2016 12:00:00 AM,0.31372,1.7,0.21,0.29101,0.3,0.25
