Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU_ID,Strategy,Depth,June_Abundance,March_Abundance,May_Abundance,September_Abundance,Location,Winter_Logfoldchange,Snowmelt_Logfoldchange,Spring_Logfoldchange,Winter_logfold_CI,Snowmelt_logfold_CI,Spring_logfold_CI,Winter_adj.p,Snowmelt_adj.p,Spring_adj.p,Trophic.Mode,Guild
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__Knufia_peltigerae,OTU_260,Winter,0 to 5 cm,0.00142,0.00396,0.00191,0.00228,Hillslope,0.8,-1.05,-0.43,1.31,1.73,0.89,0.042,0.029,0.092,Mixotrophic,Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Tetracladium,s__Tetracladium_sp,OTU_346,Winter,5 to 15 cm,0.00027,0.00149,0.00089,0.00021,Hillslope,2.83,-0.74,-1.71,4.17,2.08,1.63,0.022,0.245,0,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__Knufia_peltigerae,OTU_556,Winter,15 cm +,0.00002,0.00011,0,0,Hillslope,13.47,-13.47,11.04,15.14,15.14,14.07,0.002,0.001,0.004,Mixotrophic,Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,s__Chaetomium_succineum,OTU_147,Winter,15 cm +,0.00125,0.00222,0.00027,0.00019,Hillslope,3.58,-3.01,2.19,5.32,4.93,4.27,0.023,0.028,0.071,Saprotroph,Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__Mycosphaerella_tassiana,OTU_21,Winter,0 to 5 cm,0.01317,0.01978,0.00859,0.00832,Hillslope,1.25,-1.2,0.62,1.87,1.83,1.27,0.024,0.017,0.088,Pathotroph,Plant Pathogen
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Cadophora,s__Cadophora_sp,OTU_246,Winter,0 to 5 cm,0.00027,0.01953,0.00098,0.00034,Hillslope,5.83,-4.32,-1.84,7.54,6.08,4.82,0.007,0.01,0.206,Endophyte,Endophyte
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_gemmifera,OTU_1068,Winter,5 to 15 cm,0.0001,0.00028,0.00003,0.00003,Hillslope,3.18,-3.08,1.52,5.04,4.89,4.23,0.035,0.023,0.241,Saprotroph,Undefined Saprotroph
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_gemmifera,OTU_1068,Winter,15 cm +,0.00017,0.00166,0.00005,0.0001,Hillslope,4.02,-5.18,1.87,5.81,7.16,6.55,0.019,0.008,0.384,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Tetracladium,NA,OTU_122,Winter,0 to 5 cm,0.00665,0.01644,0.00733,0.00741,Hillslope,1.15,-1.16,-0.14,1.74,1.76,1.75,0.026,0.017,0.897,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,s__Phaeococcomyces_sp,OTU_918,Winter,0 to 5 cm,0.00024,0.00061,0.00012,0.0001,Hillslope,2.62,-2.3,0.97,4.08,3.72,3.53,0.031,0.026,0.408,Saprotroph,Undefined Saprotroph
