Lab_ID_LBNL,IGSN,Latitude,Longitude,Location,Field_Site,Elevation,Block,Plot,Replicate,Topographic_Position,Depth_Increment,Date_Collected,Microbial Biomass Carbon (µg C per g soil),Microbial Biomass Nitrogen (µg N per g soil)
1,,38.92022817,-106.9486757,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,0-5 cm,9/12/2016,180.910,45.01
2,,38.92022817,-106.9486757,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,5-15 cm,9/12/2016,200.360,45.78
3,,38.92022817,-106.9486757,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15 cm +,9/12/2016,204.930,59.12
4,,38.92027083,-106.9486578,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,0-5 cm,9/12/2016,171.770,40.44
5,,38.92027083,-106.9486578,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,5-15 cm,9/12/2016,245.540,57.19
6,,38.92027083,-106.9486578,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,15 cm +,9/12/2016,228.930,47.81
7,,38.92029772,-106.9487593,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,0-5 cm,9/12/2016,188.450,41.89
8,,38.92029772,-106.9487593,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,5-15 cm,9/12/2016,230.420,52.47
9,,38.92029772,-106.9487593,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,15 cm +,9/12/2016,190.300,40.76
10,,38.92025952,-106.9488273,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,0-5 cm,9/12/2016,289.060,59.39
11,,38.92025952,-106.9488273,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,5-15 cm,9/12/2016,241.010,49.16
12,,38.92025952,-106.9488273,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15 cm +,9/12/2016,210.920,53.78
13,,38.92030701,-106.9483947,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,0-5 cm,9/12/2016,232.130,55.14
14,,38.92030701,-106.9483947,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,5-15 cm,9/12/2016,297.700,66.64
15,,38.92030701,-106.9483947,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15 cm +,9/12/2016,209.930,43.01
16,,38.92034772,-106.9483399,East_River,Pumphouse_Hillslope,2765,B,B1,1,Downslope,0-5 cm,9/12/2016,189.420,39.74
17,,38.92034772,-106.9483399,East_River,Pumphouse_Hillslope,2765,B,B1,1,Downslope,5-15 cm,9/12/2016,213.850,44.21
