ï»¿Time,CO2_conc_(ppm),CO2_flux_(umol/m2s),Soil_heat_flux_(W/m2),PAR_(umol/m2s),In_short_wave_(W/m2),Out_short_wave_(W/m2),In_long_wave_(W/m2),Out_long_wave_(W/m2),Net_short_wave_(W/m2),Net_long_wave_(W/m2),Net_rad_(W/m2),Cal_oxygen_(%),Infrared_temp_(C),S1_wc_(m3/m3),S1_temp_(C),S1_ec_(mS/cm),S2_wc_(m3/m3),S2_temp_(C),S2_ec_(mS/cm),S3_wc_(m3/m3),S3_temp_(C),S3_ec_(mS/cm),S4_wc_(m3/m3),S4_temp_(C),S4_ec_(mS/cm),S5_wp_(kPa),S5_temp_(C),Solar_radiation_(W/m2),Precipitation_(mm),Lightning_activity_(number),Lightning_distance_(km),Wind_direction_(degree),Wind_speed_(m/s),Gust_speed_(m/s),Air_temp_(C),Vapor_p_(kPa),Atm_p_(kPa),X_axis_level_(degree),Y_axis_level_(degree),Max_precipitation_rate_(mm/hr),RH_sensor_temp_(C),VPD_(kPa),VPD_Cal_(kPa)
10/11/2019 14:00,480.6,0.66,36.28516624,1235,648.7,92.5,210,397.8,556.2,-187.8,368.4,16.61,17.92,0.212,9.5,0.787,0.113,9,0.31,0.113,7.2,0.116,0.112,7.2,0,-13854.6,7.1,0,0,0,0,278,1.44,3.1,-4.2,0.17,73.05,-0.7,2.1,0,-4.7,0,0.260869684
10/11/2019 15:00,477.6,0.48,27.7173913,805,482.6,66.42,214.6,381.7,416.18,-167.1,249.08,16.57,14.9,0.212,9.5,0.787,0.113,9,0.31,0.113,7.3,0.122,0.112,6.4,0,-14298.7,7.2,0,0,0,0,293,1.86,3.79,-5.7,0.17,73.07,-0.7,2.1,0,-6.5,0,0.205551679
10/11/2019 16:00,469.8,0.08,17.77493606,91.7,28.02,4.43,211.6,328.6,23.59,-117,-93.41,16.53,2.184,0.212,9.4,0.789,0.113,9,0.311,0.113,7.3,0.123,0.112,5.7,0,-14900.3,7.2,0,0,0,0,297,2.62,4.07,-6.1,0.16,73.06,-0.7,2.2,0,-7.1,0,0.198566938
10/11/2019 17:00,475,0.9,-7.113171355,53.44,16.34,2.9,209.6,314.8,13.44,-105.2,-91.76,16.48,-1.531,0.212,9.4,0.789,0.113,9,0.313,0.113,7.4,0.122,0.112,5,0,-15907.3,7.3,0,0,0,0,293,2.21,3.92,-6.7,0.15,73.04,-0.7,2.2,0,-7.5,0,0.19762603
10/11/2019 18:00,483,0.7,-18.78196931,0,-3.82,-0.12,205.6,298,-3.7,-92.4,-96.1,16.43,-5.133,0.212,9.4,0.791,0.113,8.9,0.313,0.113,7.4,0.122,0.112,4.3,0,-16622.5,7.3,0,0,0,0,292,1.84,3.64,-7.9,0.14,73.01,-0.6,2.2,0,-8.7,0,0.17655986
10/11/2019 19:00,495.6,0.68,-25.95907928,-0.097,-4.8,-0.75,197.6,280.4,-4.05,-82.8,-86.85,16.42,-8.74,0.212,9.4,0.791,0.113,8.9,0.311,0.113,7.4,0.122,0.112,3.7,0,-17218.5,7.3,0,0,0,0,296,2.45,4.7,-8.8,0.13,73,-0.7,2.2,0,-9.7,0,0.162582257
10/11/2019 20:00,497.6,0.4,-26.342711,0,-2.94,0.07,193.3,275.6,-3.01,-82.3,-85.31,16.41,-10.21,0.212,9.4,0.791,0.113,8.9,0.312,0.113,7.4,0.123,0.111,3.1,0,-18030,7.3,0,0,0,0,292,2.37,4.22,-9,0.13,72.99,-0.7,2.2,0,-10,0,0.155710982
10/11/2019 21:00,504.6,0.48,-25.09590793,0,-2.96,-0.04,190.9,274.7,-2.92,-83.8,-86.72,16.39,-10.14,0.212,9.4,0.791,0.113,8.8,0.314,0.113,7.4,0.124,0.111,2.6,0,-18849.3,7.3,0,0,0,0,293,2.1,4.5,-9,0.12,72.96,-0.7,2.2,0,-9.8,0,0.170275686
10/11/2019 22:00,509.6,0.68,-23.92902813,-0.097,-2.75,0.31,190.9,273.2,-3.06,-82.3,-85.36,16.39,-11,0.212,9.4,0.791,0.113,8.8,0.314,0.113,7.3,0.12,0.111,2,0,-19534.2,7.2,0,0,0,0,291,2.12,4.59,-10.4,0.12,72.98,-0.7,2.2,0,-11.4,0,0.135505095
10/11/2019 23:00,512.8,0.72,-23.1297954,0,-3.35,-0.04,186.5,269.4,-3.31,-82.9,-86.21,16.39,-11.63,0.212,9.4,0.791,0.113,8.8,0.312,0.113,7.2,0.117,0.111,1.6,0,-20634.6,7.2,0,0,0,0,287,1.87,3.75,-10.7,0.12,72.99,-0.6,2.2,0,-11.5,0,0.133460506
10/12/2019 0:00,509,0.16,-22.74616368,-0.097,-2.65,0.92,186.2,267,-3.57,-80.8,-84.37,16.39,-12.17,0.212,9.4,0.791,0.113,8.8,0.313,0.113,7.2,0.117,0.111,1.1,0,-22309.8,7.1,0,0,0,0,295,2.46,4.45,-10.8,0.12,72.98,-0.7,2.2,0,-11.7,0,0.129414951
10/12/2019 1:00,513.4,0.48,-22.85805627,0,-1.32,0.64,185.3,266.9,-1.96,-81.6,-83.56,16.41,-12.29,0.212,9.4,0.789,0.113,8.8,0.312,0.113,7,0.114,0.111,0.6,0,-25060.8,7,32,0,0,0,262,1.07,2.35,-11.4,0.12,72.98,-0.7,2.2,0,-11.9,0,0.12542696
10/12/2019 2:00,518.2,0.5,-23.60933504,0.097,-2.09,0.66,183.8,264.7,-2.75,-80.9,-83.65,16.42,-12.72,0.212,9.4,0.787,0.113,8.7,0.313,0.113,6.9,0.114,0.111,0.2,0,-30060.5,6.9,200,0,0,0,317,1.79,3.83,-8.1,0.16,72.93,-0.7,2.2,0,-5.5,0,0.245450267
10/12/2019 3:00,518,0.6,-25.15984655,-0.097,-3.01,-0.17,180.2,257.9,-2.84,-77.7,-80.54,16.44,-14.22,0.212,9.4,0.787,0.113,8.7,0.31,0.114,6.8,0.111,0.111,0,0,-36651.8,6.8,406,0,0,0,41,1.04,3.3,-1.9,0.15,72.86,-0.7,2.1,0,3.2,0,0.618589883
10/12/2019 4:00,512,0.38,-27.63746803,0.194,-3.25,-0.16,180.1,259.7,-3.09,-79.6,-82.69,16.47,-13.96,0.212,9.4,0.787,0.113,8.7,0.311,0.114,6.7,0.111,0.111,0.5,0,-44534.4,6.6,582,0,0,0,139,2.2,6.41,2.4,0.15,72.82,-0.7,2.1,0,7.8,1,0.908243415
10/12/2019 5:00,521.2,0.54,-32.7685422,-0.097,-1.87,0.18,179.4,256.7,-2.05,-77.3,-79.35,16.49,-14.87,0.212,9.4,0.789,0.113,8.7,0.313,0.114,6.5,0.111,0.111,1.4,0,-52082.9,6.5,710,0,0,0,139,2.21,6.24,5.6,0.15,72.75,-0.7,2,0,10.6,1,1.128215907
10/12/2019 6:00,520,0.7,-36.84462916,1.259,-2.72,0.43,178.7,257.3,-3.15,-78.6,-81.75,16.5,-14.66,0.212,9.4,0.789,0.113,8.7,0.313,0.114,6.4,0.113,0.111,2.8,0,-59565.6,6.4,776,0,0,0,332,2.76,9,8.9,0.13,72.67,-0.7,2,0,13.6,1,1.427578341
10/12/2019 7:00,519.8,0.38,-39.1943734,232.6,115.1,36.86,180,280.5,78.24,-100.5,-22.26,16.52,-9.08,0.212,9.4,0.789,0.113,8.6,0.314,0.114,6.3,0.114,0.111,4.5,0,-68170.3,6.3,772,0,0,0,317,4.32,13.76,9.9,0.09,72.6,-0.9,1.8,0,13.8,1,1.487974609
10/12/2019 8:00,504.2,0.36,-28.16496164,652.1,302.4,55,187.6,316.7,247.4,-129.1,118.3,16.53,0.925,0.212,9.4,0.791,0.113,8.6,0.312,0.114,6.2,0.111,0.111,6,0,-74575.4,6.2,699,0,0,0,314,4.81,11.76,9.8,0.09,72.57,-0.8,1.7,0,13.4,1,1.447413793
10/12/2019 9:00,494,0.78,-17.08759591,1055,496.1,88.4,197,363.3,407.7,-166.3,241.4,16.53,7.175,0.212,9.4,0.792,0.113,8.6,0.315,0.114,6.2,0.111,0.111,7.4,0,-80666.9,6.1,563,0,0,0,322,6.24,11.82,9.3,0.09,72.57,-0.7,1.7,0,12.2,1,1.331168221
10/12/2019 10:00,494,0.78,-10.35805627,1363,657.2,111,202.2,399.9,546.2,-197.7,348.5,16.53,13.38,0.212,9.4,0.793,0.113,8.6,0.315,0.114,6.1,0.111,0.112,8.3,0,-86855.1,6.1,323,0,0,0,299,5.76,13.21,8.5,0.12,72.6,-0.8,1.8,0,10.8,1,1.175364086
10/12/2019 11:00,494,0.8,-6.234015345,1540,760.7,127.4,210.7,426,633.3,-215.3,418,16.52,18.91,0.212,9.3,0.792,0.113,8.5,0.31,0.114,6.2,0.114,0.112,8.7,0,-93131.3,6.1,25,0,0,0,290,4.41,8,7.4,0.13,72.62,-0.6,1.7,0,7.4,1,0.899711114
10/12/2019 12:00,486.8,0.38,16.3842711,1577,799.1,129.7,210.1,432.1,669.4,-222,447.4,16.49,20.95,0.212,9.3,0.791,0.113,8.5,0.311,0.114,6.2,0.113,0.112,8.6,0,-91980.4,6.2,7,0,0,0,280,3.12,5.99,4.7,0.13,72.64,-0.6,1.8,0,4.9,1,0.736240546
