ï»¿Time,CO2_conc_(ppm),CO2_flux_(umol/m2s),Soil_heat_flux_(W/m2),PAR_(umol/m2s),In_short_wave_(W/m2),Out_short_wave_(W/m2),In_long_wave_(W/m2),Out_long_wave_(W/m2),Net_short_wave_(W/m2),Net_long_wave_(W/m2),Net_rad_(W/m2),Cal_oxygen_(%),Infrared_temp_(C),S1_wc_(m3/m3),S1_temp_(C),S1_ec_(mS/cm),S2_wc_(m3/m3),S2_temp_(C),S2_ec_(mS/cm),S3_wc_(m3/m3),S3_temp_(C),S3_ec_(mS/cm),S4_wc_(m3/m3),S4_temp_(C),S4_ec_(mS/cm),S5_wp_(kPa),S5_temp_(C),Solar_radiation_(W/m2),Precipitation_(mm),Lightning_activity_(number),Lightning_distance_(km),Wind_direction_(degree),Wind_speed_(m/s),Gust_speed_(m/s),Air_temp_(C),Vapor_p_(kPa),Atm_p_(kPa),X_axis_level_(degree),Y_axis_level_(degree),Max_precipitation_rate_(mm/hr),RH_sensor_temp_(C),VPD_(kPa),VPD_Cal_(kPa)
10/11/2019 14:00,,-0.74,56.45840078,1350,642.6,136.2,197,436.4,506.4,-239.4,267,16.83,25.97,0.26,9.8,0.883,0.165,9.7,0.396,0.14,7.8,0.131,0.122,8.5,0.102,-388.2,8.3,0,0,0,0,334,1.44,3,-6.4,0.17,73.35,-3.7,0.8,0,-6.8,0,0.196972107
10/11/2019 15:00,225.4,1.06,54.0628035,1000,476.9,104.8,204.7,412.4,372.1,-207.7,164.4,16.79,20.77,0.26,9.8,0.883,0.165,9.6,0.402,0.14,7.9,0.135,0.122,7.6,0.093,-401,8.3,0,0,0,0,321,1.76,3.35,-8.8,0.16,73.35,-3.7,0.8,0,-9.1,0,0.146767028
10/11/2019 16:00,217.8,0.98,43.31498867,577.1,276.5,63.55,207.5,379,212.95,-171.5,41.45,16.73,13.77,0.26,9.8,0.883,0.165,9.6,0.405,0.14,8,0.137,0.122,6.7,0.089,-412.2,8.4,0,0,0,0,325,1.93,3.16,-9.3,0.16,73.32,-3.7,0.8,0,-10.3,0,0.118983554
10/11/2019 17:00,192.2,0.88,24.58724506,59.71,15.38,2.04,204.5,313.5,13.34,-109,-95.66,16.68,-1.661,0.26,9.8,0.883,0.165,9.6,0.409,0.14,8,0.136,0.122,5.9,0.081,-425.2,8.4,0,0,0,0,328,1.75,3.38,-10,0.15,73.3,-3.7,0.8,0,-10.7,0,0.120232888
10/11/2019 18:00,175.4,0.62,-2.023308514,0.095,-4.29,-0.35,196.7,295.3,-3.94,-98.6,-102.54,16.62,-5.738,0.26,9.8,0.881,0.165,9.6,0.412,0.14,8,0.134,0.122,5.1,0.076,-434.3,8.5,0,0,0,0,329,1.63,2.8,-10.3,0.14,73.27,-3.7,0.8,0,-11.2,0,0.119638349
10/11/2019 19:00,193.8,0.3,-15.52282292,0,-2.92,1.04,193.2,278.6,-3.96,-85.4,-89.36,16.6,-9.59,0.26,9.8,0.881,0.165,9.5,0.4,0.14,8,0.133,0.122,4.4,0.07,-449.3,8.5,0,0,0,0,320,2.15,3.63,-11.8,0.14,73.26,-3.7,0.8,0,-12.4,0,0.095704167
10/11/2019 20:00,212.6,0.42,-22.96859825,0,-4.29,-0.45,187.4,266.6,-3.84,-79.2,-83.04,16.58,-12.37,0.26,9.8,0.883,0.165,9.5,0.391,0.14,8,0.135,0.122,3.7,0.064,-458,8.5,0,0,0,0,319,1.95,3.45,-11.7,0.13,73.24,-3.7,0.9,0,-12.7,0,0.100036493
10/11/2019 21:00,228.6,0.18,-27.17707996,0,-3.16,0.05,184.2,263.4,-3.21,-79.2,-82.41,16.56,-12.99,0.26,9.8,0.883,0.165,9.5,0.392,0.14,8,0.136,0.122,3.1,0.062,-475.7,8.5,0,0,0,0,329,1.72,3.85,-12,0.13,73.22,-3.7,0.8,0,-12.7,0,0.100036493
10/11/2019 22:00,225.6,0.06,-29.60505018,0,-3.93,-0.49,182,259.5,-3.44,-77.5,-80.94,16.55,-14.4,0.26,9.8,0.885,0.165,9.5,0.408,0.14,7.9,0.137,0.122,2.6,0.061,-485.6,8.4,0,0,0,0,328,1.69,3.54,-13.2,0.12,73.24,-3.7,0.9,0,-14.1,0,0.085159636
10/11/2019 23:00,233.4,0,-31.25606993,0,-2.99,-0.09,181,254.4,-2.9,-73.4,-76.3,16.55,-15.59,0.26,9.8,0.883,0.165,9.4,0.419,0.14,7.8,0.135,0.122,2,0.052,-502,8.4,0,0,0,0,327,1.62,3.36,-13.4,0.12,73.25,-3.7,0.9,0,-14.3,0,0.081808886
10/12/2019 0:00,233.2,-0.06,-32.85853027,0,-3.28,-0.28,178.2,251.5,-3,-73.3,-76.3,16.55,-16.3,0.26,9.8,0.883,0.165,9.4,0.423,0.14,7.7,0.132,0.122,1.6,0.045,-516.6,8.3,0,0,0,0,323,2.06,3.5,-13.7,0.12,73.23,-3.7,0.9,0,-14.5,0,0.078506993
10/12/2019 1:00,228,-0.16,-33.1984461,0,-2.7,0.36,178.4,253.4,-3.06,-75,-78.06,16.57,-15.79,0.26,9.8,0.881,0.165,9.4,0.414,0.14,7.6,0.132,0.122,1.1,0.04,-532.2,8.2,28,0,0,0,333,0.93,1.91,-14.1,0.12,73.24,-3.7,0.9,0,-14.9,0,0.0720473
10/12/2019 2:00,229.8,-0.16,-33.47361606,0,-2.64,0.11,176.8,252.6,-2.75,-75.8,-78.55,16.59,-16.25,0.26,9.8,0.881,0.165,9.4,0.405,0.14,7.5,0.133,0.122,0.6,0.037,-551.1,8.2,198,0,0,0,300,1.78,3.46,-8.4,0.16,73.2,-3.7,0.8,0,-6.9,0,0.204151159
10/12/2019 3:00,230.6,-0.08,-33.6031078,0,-2.4,-0.14,174.7,245.5,-2.26,-70.8,-73.06,16.61,-18.09,0.26,9.8,0.881,0.165,9.4,0.402,0.14,7.4,0.132,0.122,0.4,0.041,-564,8.1,403,0,0,0,205,0.93,2.36,-1.5,0.16,73.15,-3.7,0.9,0,3.2,0,0.608589883
10/12/2019 4:00,231.4,-0.16,-34.3153124,0,-2.22,0.48,173.8,249.6,-2.7,-75.8,-78.5,16.64,-16.89,0.26,9.8,0.881,0.165,9.3,0.4,0.14,7.2,0.119,0.123,0.7,0.024,-587.8,8,592,0,0,0,129,2.23,5.55,2.6,0.15,73.09,-3.7,0.9,0,8,1,0.922768826
10/12/2019 5:00,234.2,-0.06,-34.20200712,0,-3.18,-0.25,172.2,243.4,-2.93,-71.2,-74.13,16.66,-18.48,0.26,9.8,0.881,0.165,9.3,0.399,0.14,7.1,0.12,0.123,1.5,0.04,-601.4,7.9,735,0,0,0,138,2.15,4.58,5.7,0.15,73.03,-3.7,0.8,0,10.8,1,1.145364086
10/12/2019 6:00,234.6,-0.22,-34.0077695,1.136,-2.96,-0.42,171.2,244,-2.54,-72.8,-75.34,16.68,-18.4,0.26,9.8,0.881,0.165,9.3,0.4,0.14,6.9,0.122,0.123,3.2,0.059,-622.4,7.8,816,0,0,0,269,2.92,8.76,9.5,0.13,72.95,-3.7,0.9,0,14,1,1.468604859
10/12/2019 7:00,235.6,-0.18,-33.6031078,209.4,62.18,23.2,167.1,263.4,38.98,-96.3,-57.32,16.71,-13.15,0.26,9.8,0.882,0.165,9.3,0.409,0.14,6.8,0.119,0.122,5.2,0.076,-642.7,7.6,825,0,0,0,291,4.13,10.56,10.7,0.09,72.88,-3.8,0.8,0,14.8,1,1.593511528
10/12/2019 8:00,217.2,-0.18,-28.0187763,623.1,330.7,69.68,175.8,318.5,261.02,-142.7,118.32,16.73,-3.155,0.26,9.8,0.882,0.165,9.3,0.411,0.14,6.7,0.117,0.122,7,0.092,-655.1,7.5,761,0,0,0,294,4.52,11.41,10.8,0.09,72.84,-3.9,0.8,0,14.4,1,1.550576439
10/12/2019 9:00,159.68,-0.1,-13.33764972,1055,523.2,107.1,184.5,375.2,416.1,-190.7,225.4,16.74,7.462,0.26,9.7,0.882,0.165,9.2,0.406,0.14,6.7,0.119,0.122,8.2,0.099,-680.3,7.4,627,0,0,0,299,5.53,12.25,10.5,0.1,72.83,-3.8,0.7,0,13.6,1,1.457578341
10/12/2019 10:00,,-0.76,5.082550987,1395,680.5,135.1,187.3,410.5,545.4,-223.2,322.2,16.74,15.33,0.26,9.7,0.882,0.165,9.2,0.402,0.14,6.7,0.122,0.122,9.1,0.105,-697.3,7.4,437,0,0,0,278,5.88,10.29,9.6,0.13,72.87,-3.7,0.7,0,12.3,1,1.300551404
10/12/2019 11:00,,-0.74,30.72191648,1601,776.5,155.9,189.1,451.2,620.6,-262.1,358.5,16.73,24.94,0.26,9.7,0.882,0.165,9.2,0.398,0.14,6.8,0.12,0.122,9.7,0.11,-708.9,7.4,176,0,0,0,279,4.64,8.35,8,0.15,72.89,-3.8,0.8,0,10.1,1,1.086215522
10/12/2019 12:00,,-0.74,50.48559404,1651,808,165.8,192.2,478.9,642.2,-286.7,355.5,16.71,31.27,0.26,9.7,0.882,0.165,9.2,0.398,0.14,6.8,0.124,0.122,9.7,0.11,-729.1,7.4,8,0,0,0,305,1.88,5.96,2.4,0.14,72.92,-3.8,0.8,0,3.6,1,0.650647132
