ï»¿"Figure 2a, daily average temperature",,,,,,,,,,,Figure 2a insert,,,,,,,"Figure 2b, precipitation",,,,,,,,,,,,,,,,,,,"Figure 2c, evapotranspiration",,,,,,,,,,,,,,,,,,,,
"ER-CSMWS,   https://lbnlsfa.paf.subsurfaceinsights.com/login/?redir=%2Fdatadownload%2F&show_redir_msg=1",,,,,,,,,,,5-day moving average air temperatures,,,,,,,Butte SNOTEL precipitation data,,,,,,,,,,,,,,,,,,,A. Phuong Tran's ET from CLM,,,,,,,,,,,,,,,,,,,,
gaps in ER-CSMWS for WY2017 were estimated based on correlations with Butte SNOTEL during wet WY2019 ,,,,,,,,,,,,,,,,,,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T(ER-CSMWS) â (-0.0011*TButte^3) + (0.0003*TButte^2) + 1.2365*TButte -1.654 ,,,,,,,,,,,,,,,,,,Colorado (PST) SNOTEL Site Butte - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Jul 13 21:32:39 GMT-08:00 2021. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,,,,,,,,,,,,  ,  ,,,,,,,,,,,,,,,,,,,,
gaps in ER-CSMWS for drier WY2020 were estimated based on correlations with Butte SNOTEL during drier WY2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T(ER-CSMWS) â (-0.001*TButte^3) + (0.0122*TButte^2) + 1.0607*TButte -1.872 ,,,,,,,,,,,,,,,,,,"monthly precipitation totals, mm",,,,,,,,,,,,,,,,,,,"daily ET,   mm",,,,,,,,,,,"cumulative ET,   mm",,,,,,,,,
WY2017,,WY2018,,WY2019,,"WY2020(leap year, w Feb.29)",,WY2021,,,,,,,,,,,WY2017,WY2018,WY2019,WY2020,WY2021,,,Date,"â precip., mm",Date,"â precip., mm",Date,"â precip., mm",Date,"â precip., mm",Date,"â precip., mm",,WY2017,,WY2018,,WY2019,,WY2020,,WY2021,,,WY2017,,WY2018,,WY2019,,WY2020,,WY2021,
Date,average,Date,average,Date,average,Date,average,Date,average,,,2017,2018,2019,2020,2021,,Oct.,17.78,25.4,58.42,30.48,17.78,,,10/1/16,0,10/1/17,0,10/1/18,0,10/1/19,0,10/1/20,0.0,,10/1/16,0.86,10/1/17,0.83,10/1/18,1.85,10/1/19,0.14,10/1/20,0.39,,10/1/16,0.86,10/1/17,0.83,10/1/18,1.85,10/1/19,0.14,10/1/20,0.4
10/1/16,8.00,10/1/17,4.59,10/1/18,8.94,10/1/19,7.94,10/1/20,7.36,,3/1,-10.96,-5.95,-3.66,-5.82,-9.18,,Nov.,48.26,48.26,68.58,38.1,60.96,,,10/2/16,0,10/2/17,2.54,10/2/18,0,10/2/19,0,10/2/20,0.0,,10/2/16,0.83,10/2/17,0.75,10/2/18,0.95,10/2/19,0.15,10/2/20,0.34,,10/2/16,1.69,10/2/17,1.58,10/2/18,2.8,10/2/19,0.29,10/2/20,0.7
10/2/16,8.00,10/2/17,3.55,10/2/18,7.87,10/2/19,5.40,10/2/20,7.15,,3/2,-9.41,-5.79,-3.66,-5.15,-8.63,,Dec.,129.54,27.94,40.64,88.9,60.96,,,10/3/16,0,10/3/17,2.54,10/3/18,5.08,10/3/19,0,10/3/20,0.0,,10/3/16,1.37,10/3/17,0.49,10/3/18,0.7,10/3/19,0.15,10/3/20,0.29,,10/3/16,3.06,10/3/17,2.07,10/3/18,3.5,10/3/19,0.44,10/3/20,1.0
10/3/16,8.70,10/3/17,4.66,10/3/18,10.43,10/3/19,4.75,10/3/20,7.13,,3/3,-8.71,-6.15,-3.11,-5.52,-7.93,,Jan.,190.5,38.1,78.74,45.72,33.02,,,10/4/16,0,10/4/17,7.62,10/4/18,5.08,10/4/19,0,10/4/20,0.0,,10/4/16,1.27,10/4/17,0.56,10/4/18,0.93,10/4/19,0.1,10/4/20,0.26,,10/4/16,4.33,10/4/17,2.63,10/4/18,4.43,10/4/19,0.54,10/4/20,1.3
10/4/16,3.34,10/4/17,8.87,10/4/18,7.18,10/4/19,9.55,10/4/20,6.96,,3/4,-8.52,-6.27,-2.90,-5.98,-5.99,,Feb.,88.9,53.34,83.82,60.96,71.12,,,10/5/16,0,10/5/17,7.62,10/5/18,5.08,10/5/19,0,10/5/20,0.0,,10/5/16,0.68,10/5/17,0.71,10/5/18,1.08,10/5/19,0.12,10/5/20,0.25,,10/5/16,5.01,10/5/17,3.34,10/5/18,5.51,10/5/19,0.66,10/5/20,1.5
10/5/16,-0.42,10/5/17,8.94,10/5/18,4.57,10/5/19,7.08,10/5/20,7.40,,3/5,-7.61,-5.70,-3.07,-5.69,-4.41,,Mar.,30.48,35.56,142.24,88.9,45.72,,,10/6/16,2.54,10/6/17,7.62,10/6/18,7.62,10/6/19,0,10/6/20,0.0,,10/6/16,0.42,10/6/17,0.65,10/6/18,2.02,10/6/19,0.12,10/6/20,0.24,,10/6/16,5.43,10/6/17,3.99,10/6/18,7.53,10/6/19,0.78,10/6/20,1.8
10/6/16,1.54,10/6/17,4.13,10/6/18,4.65,10/6/19,9.37,10/6/20,8.17,,3/6,-6.06,-5.28,-3.77,-4.99,-3.39,,Apr.,53.34,58.42,58.42,35.56,22.86,,,10/7/16,5.08,10/7/17,7.62,10/7/18,10.16,10/7/19,0,10/7/20,0.0,,10/7/16,0.46,10/7/17,1.68,10/7/18,0.74,10/7/19,0.13,10/7/20,0.24,,10/7/16,5.89,10/7/17,5.67,10/7/18,8.27,10/7/19,0.91,10/7/20,2.0
10/7/16,-2.02,10/7/17,4.10,10/7/18,6.74,10/7/19,9.81,10/7/20,8.85,,3/7,-4.83,-4.91,-4.11,-4.65,-3.35,,May,48.26,22.86,86.36,38.1,35.56,,,10/8/16,7.62,10/8/17,7.62,10/8/18,10.16,10/8/19,2.54,10/8/20,0.0,,10/8/16,0.44,10/8/17,1.2,10/8/18,0.9,10/8/19,0.12,10/8/20,0.22,,10/8/16,6.33,10/8/17,6.87,10/8/18,9.17,10/8/19,1.03,10/8/20,2.2
10/8/16,1.79,10/8/17,5.69,10/8/18,1.72,10/8/19,10.86,10/8/20,7.69,,3/8,-4.04,-4.55,-4.01,-4.91,-4.03,,Jun.,5.08,2.54,35.56,15.24,30.48,,,10/9/16,7.62,10/9/17,7.62,10/9/18,15.24,10/9/19,2.54,10/9/20,0.0,,10/9/16,0.59,10/9/17,0.56,10/9/18,0.39,10/9/19,0.46,10/9/20,0.49,,10/9/16,6.92,10/9/17,7.43,10/9/18,9.56,10/9/19,1.49,10/9/20,2.7
10/9/16,5.76,10/9/17,-0.88,10/9/18,0.40,10/9/19,11.36,10/9/20,7.91,,3/9,-3.48,-3.36,-2.80,-4.41,-3.93,,Jul.,76.2,35.56,0,30.48,73.66,,,10/10/16,10.16,10/10/17,17.78,10/10/18,17.78,10/10/19,5.08,10/10/20,0.0,,10/10/16,0.75,10/10/17,0.5,10/10/18,0.4,10/10/19,0.59,10/10/20,0.64,,10/10/16,7.67,10/10/17,7.93,10/10/18,9.96,10/10/19,2.08,10/10/20,3.4
