ï»¿Figure 3.  water table data,,,,,,,,,,,,,,,,,,
original elevation data on: https://lbnlsfa.paf.subsurfaceinsights.com/login/?redir=%2Fdatadownload%2F&show_redir_msg=1,,,,,,,,,,,,,,,,,,
"soil surface elevations for PLM1 = 2786.74 m , PLM6 = 2759.58 m",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 3a.,,,,"Figure 3b,c",,,,,,,,,,,,,,
date,Average water table depth below the soil surface,gradient,,,depth below local soil surface,,,,,,,,,,,,,
,m,m/m,,,PLM1,PLM6,,PLM1,PLM6,,PLM1,PLM6,,PLM1,PLM6,,PLM1,PLM6
10/1/16,-2.587,0.199,,3/1/17,-3.42,-2.34,3/1/18,-3.88,-2.55,3/1/19,-3.88,-2.45,3/1/20,-3.78,-2.51,3/1/21,-3.78,-2.51
10/2/16,-2.564,0.199,,3/2/17,-3.44,-2.46,3/2/18,-3.87,-2.53,3/2/19,-3.90,-2.45,3/2/20,-3.78,-2.51,3/2/21,-3.78,-2.51
10/3/16,-2.565,0.199,,3/3/17,-3.42,-2.42,3/3/18,-3.88,-2.52,3/3/19,-3.87,-2.47,3/3/20,-3.82,-2.49,3/3/21,-3.82,-2.49
10/4/16,-2.572,0.199,,3/4/17,-3.39,-2.41,3/4/18,-3.90,-2.54,3/4/19,-3.84,-2.50,3/4/20,-3.86,-2.48,3/4/21,-3.86,-2.48
10/5/16,-2.603,0.199,,3/5/17,-3.35,-2.35,3/5/18,-3.92,-2.59,3/5/19,-3.80,-2.52,3/5/20,-3.84,-2.51,3/5/21,-3.84,-2.51
10/6/16,-2.567,0.199,,3/6/17,-3.33,-2.33,3/6/18,-3.89,-2.54,3/6/19,-3.78,-2.53,3/6/20,-3.81,-2.51,3/6/21,-3.81,-2.51
10/7/16,-2.570,0.198,,3/7/17,-3.42,-2.44,3/7/18,-3.89,-2.52,3/7/19,-3.83,-2.50,3/7/20,-3.85,-2.50,3/7/21,-3.85,-2.50
10/8/16,-2.581,0.198,,3/8/17,-3.42,-2.42,3/8/18,-3.88,-2.49,3/8/19,-3.90,-2.48,3/8/20,-3.85,-2.51,3/8/21,-3.85,-2.51
10/9/16,-2.574,0.198,,3/9/17,-3.42,-2.42,3/9/18,-3.89,-2.51,3/9/19,-3.90,-2.49,3/9/20,-3.87,-2.53,3/9/21,-3.87,-2.53
10/10/16,-2.585,0.198,,3/10/17,-3.41,-2.42,3/10/18,-3.89,-2.53,3/10/19,-3.86,-2.51,3/10/20,-3.92,-2.45,3/10/21,-3.92,-2.45
10/11/16,-2.597,0.198,,3/11/17,-3.40,-2.40,3/11/18,-3.90,-2.55,3/11/19,-3.86,-2.51,3/11/20,-3.90,-2.48,3/11/21,-3.90,-2.48
10/12/16,-2.593,0.198,,3/12/17,-3.39,-2.39,3/12/18,-3.91,-2.51,3/12/19,-3.91,-2.48,3/12/20,-3.89,-2.49,3/12/21,-3.89,-2.49
10/13/16,-2.613,0.198,,3/13/17,-3.40,-2.40,3/13/18,-3.91,-2.45,3/13/19,-3.92,-2.47,3/13/20,-3.91,-2.48,3/13/21,-3.91,-2.48
10/14/16,-2.611,0.198,,3/14/17,-3.42,-2.41,3/14/18,-3.92,-2.55,3/14/19,-3.93,-2.48,3/14/20,-3.97,-2.46,3/14/21,-3.97,-2.46
10/15/16,-2.655,0.198,,3/15/17,-3.42,-2.41,3/15/18,-3.92,-2.58,3/15/19,-3.89,-2.51,3/15/20,-3.96,-2.49,3/15/21,-3.96,-2.49
10/16/16,-2.631,0.198,,3/16/17,-3.40,-2.38,3/16/18,-3.93,-2.58,3/16/19,-3.89,-2.51,3/16/20,-3.96,-2.48,3/16/21,-3.96,-2.48
10/17/16,-2.626,0.197,,3/17/17,-3.41,-2.38,3/17/18,-3.93,-2.57,3/17/19,-3.91,-2.49,3/17/20,-3.92,-2.52,3/17/21,-3.92,-2.52
10/18/16,-2.622,0.197,,3/18/17,-3.42,-2.38,3/18/18,-3.94,-2.56,3/18/19,-3.93,-2.48,3/18/20,-3.86,-2.54,3/18/21,-3.86,-2.54
10/19/16,-2.630,0.197,,3/19/17,-3.41,-2.35,3/19/18,-3.94,-2.55,3/19/19,-3.98,-2.46,3/19/20,-3.86,-2.54,3/19/21,-3.86,-2.54
10/20/16,-2.633,0.198,,3/20/17,-3.40,-2.32,3/20/18,-3.95,-2.57,3/20/19,-3.92,-2.51,3/20/20,-3.91,-2.55,3/20/21,-3.91,-2.55
10/21/16,-2.627,0.198,,3/21/17,-3.39,-2.29,3/21/18,-3.93,-2.55,3/21/19,-3.88,-2.52,3/21/20,-3.94,-2.53,3/21/21,-3.94,-2.53
10/22/16,-2.650,0.197,,3/22/17,-3.37,-2.24,3/22/18,-3.92,-2.53,3/22/19,-3.90,-2.50,3/22/20,-3.97,-2.49,3/22/21,-3.97,-2.49
10/23/16,-2.637,0.197,,3/23/17,-3.32,-2.17,3/23/18,-3.94,-2.53,3/23/19,-3.90,-2.50,3/23/20,-3.99,-2.52,3/23/21,-3.99,-2.52
10/24/16,-2.628,0.197,,3/24/17,-3.37,-2.18,3/24/18,-3.95,-2.52,3/24/19,-3.93,-2.49,3/24/20,-3.98,-2.51,3/24/21,-3.98,-2.51
10/25/16,-2.660,0.197,,3/25/17,-3.36,-2.16,3/25/18,-3.96,-2.53,3/25/19,-3.95,-2.48,3/25/20,-3.99,-2.49,3/25/21,-3.99,-2.49
10/26/16,-2.631,0.197,,3/26/17,-3.32,-2.11,3/26/18,-3.95,-2.51,3/26/19,-3.99,-2.47,3/26/20,-3.97,-2.50,3/26/21,-3.97,-2.50
10/27/16,-2.647,0.197,,3/27/17,-3.31,-2.09,3/27/18,-3.94,-2.49,3/27/19,-4.00,-2.45,3/27/20,-3.88,-2.55,3/27/21,-3.88,-2.55
10/28/16,-2.695,0.197,,3/28/17,-3.30,-2.05,3/28/18,-3.95,-2.48,3/28/19,-3.96,-2.48,3/28/20,-3.83,-2.57,3/28/21,-3.83,-2.57
10/29/16,-2.629,0.197,,3/29/17,-3.31,-2.03,3/29/18,-3.94,-2.47,3/29/19,-3.91,-2.51,3/29/20,-3.92,-2.51,3/29/21,-3.92,-2.51
10/30/16,-2.628,0.197,,3/30/17,-3.26,-1.95,3/30/18,-3.96,-2.49,3/30/19,-3.93,-2.50,3/30/20,-3.93,-2.51,3/30/21,-3.93,-2.51
10/31/16,-2.629,0.197,,3/31/17,-3.21,-1.88,3/31/18,-3.95,-2.48,3/31/19,-3.92,-2.52,3/31/20,-3.84,-2.57,3/31/21,-3.84,-2.57
11/1/16,-2.631,0.197,,4/1/17,-3.23,-1.88,4/1/18,-3.95,-2.48,4/1/19,-3.95,-2.49,4/1/20,-3.84,-2.56,4/1/21,-3.84,-2.56
11/2/16,-2.635,0.197,,4/2/17,-3.21,-1.84,4/2/18,-3.94,-2.48,4/2/19,-4.01,-2.47,4/2/20,-3.88,-2.55,4/2/21,-3.88,-2.55
11/3/16,-2.656,0.197,,4/3/17,-3.14,-1.77,4/3/18,-3.94,-2.46,4/3/19,-3.97,-2.49,4/3/20,-3.88,-2.56,4/3/21,-3.88,-2.56
11/4/16,-2.642,0.197,,4/4/17,-3.12,-1.74,4/4/18,-3.97,-2.48,4/4/19,-3.99,-2.48,4/4/20,-3.89,-2.54,4/4/21,-3.89,-2.54
