 (a.) Annual variations in water table depth and resulting calculated downslope flow along different zones of the hillslope. ,,,,,,,,
"(b.) Time-dependence of fractional contributions of flow along the soil, weathering zone, and fractured bedrock to overall subsurface flow.",,,,,,,,
,,,,,,,,
,5a,5a,5a,5a,5a,5b,5b,5b
date,water table depth,total soil flow,weathering zone flow,fractured bedrock flow,total outflow,soil,weathering shale,fractured shale
,m,m3/(m day),m3/(m day),m3/(m day),m3/(m day),fraction,fraction,fraction
10/1/16,-2.59,0.000,0.067,0.039,0.106,blank = 0,0.633,0.367
10/2/16,-2.56,0.000,0.069,0.039,0.107,,0.638,0.362
10/3/16,-2.57,0.000,0.068,0.039,0.107,,0.638,0.362
10/4/16,-2.57,0.000,0.068,0.039,0.107,,0.636,0.364
10/5/16,-2.60,0.000,0.066,0.039,0.105,,0.629,0.371
10/6/16,-2.57,0.000,0.068,0.039,0.107,,0.637,0.363
10/7/16,-2.57,0.000,0.068,0.039,0.107,,0.637,0.363
10/8/16,-2.58,0.000,0.067,0.039,0.106,,0.634,0.366
10/9/16,-2.57,0.000,0.068,0.039,0.106,,0.636,0.364
10/10/16,-2.59,0.000,0.067,0.039,0.106,,0.633,0.367
10/11/16,-2.60,0.000,0.066,0.039,0.105,,0.630,0.370
10/12/16,-2.59,0.000,0.066,0.039,0.105,,0.631,0.369
10/13/16,-2.61,0.000,0.065,0.039,0.104,,0.627,0.373
10/14/16,-2.61,0.000,0.065,0.039,0.104,,0.627,0.373
10/15/16,-2.65,0.000,0.062,0.039,0.101,,0.616,0.384
10/16/16,-2.63,0.000,0.064,0.039,0.102,,0.622,0.378
10/17/16,-2.63,0.000,0.064,0.039,0.103,,0.624,0.376
10/18/16,-2.62,0.000,0.064,0.039,0.103,,0.625,0.375
10/19/16,-2.63,0.000,0.064,0.039,0.102,,0.623,0.377
10/20/16,-2.63,0.000,0.064,0.039,0.102,,0.622,0.378
10/21/16,-2.63,0.000,0.064,0.039,0.103,,0.623,0.377
10/22/16,-2.65,0.000,0.062,0.039,0.101,,0.618,0.382
10/23/16,-2.64,0.000,0.063,0.039,0.102,,0.621,0.379
10/24/16,-2.63,0.000,0.064,0.039,0.102,,0.623,0.377
10/25/16,-2.66,0.000,0.062,0.039,0.100,,0.615,0.385
10/26/16,-2.63,0.000,0.064,0.039,0.102,,0.622,0.378
10/27/16,-2.65,0.000,0.063,0.039,0.101,,0.618,0.382
10/28/16,-2.69,0.000,0.059,0.039,0.098,,0.606,0.394
10/29/16,-2.63,0.000,0.064,0.039,0.102,,0.623,0.377
10/30/16,-2.63,0.000,0.064,0.039,0.102,,0.623,0.377
10/31/16,-2.63,0.000,0.064,0.039,0.102,,0.623,0.377
11/1/16,-2.63,0.000,0.063,0.039,0.102,,0.622,0.378
11/2/16,-2.64,0.000,0.063,0.038,0.102,,0.621,0.379
11/3/16,-2.66,0.000,0.062,0.038,0.100,,0.616,0.384
11/4/16,-2.64,0.000,0.063,0.038,0.101,,0.620,0.380
11/5/16,-2.64,0.000,0.063,0.038,0.101,,0.619,0.381
11/6/16,-2.68,0.000,0.060,0.038,0.099,,0.611,0.389
11/7/16,-2.67,0.000,0.061,0.038,0.099,,0.613,0.387
11/8/16,-2.66,0.000,0.061,0.038,0.100,,0.615,0.385
11/9/16,-2.67,0.000,0.060,0.038,0.099,,0.611,0.389
11/10/16,-2.66,0.000,0.061,0.038,0.099,,0.614,0.386
11/11/16,-2.64,0.000,0.063,0.038,0.101,,0.620,0.380
11/12/16,-2.66,0.000,0.061,0.038,0.100,,0.616,0.384
11/13/16,-2.66,0.000,0.061,0.038,0.100,,0.615,0.385
11/14/16,-2.66,0.000,0.061,0.038,0.099,,0.614,0.386
11/15/16,-2.66,0.000,0.061,0.038,0.099,,0.615,0.385
11/16/16,-2.67,0.000,0.061,0.038,0.099,,0.613,0.387
11/17/16,-2.66,0.000,0.061,0.038,0.099,,0.614,0.386
11/18/16,-2.67,0.000,0.060,0.038,0.099,,0.612,0.388
11/19/16,-2.74,0.000,0.056,0.038,0.094,,0.593,0.407
11/20/16,-2.69,0.000,0.059,0.038,0.097,,0.607,0.393
11/21/16,-2.69,0.000,0.059,0.038,0.097,,0.608,0.392
11/22/16,-2.67,0.000,0.060,0.038,0.099,,0.612,0.388
11/23/16,-2.67,0.000,0.061,0.038,0.099,,0.613,0.387
11/24/16,-2.66,0.000,0.061,0.038,0.099,,0.614,0.386
11/25/16,-2.67,0.000,0.060,0.038,0.098,,0.612,0.388
11/26/16,-2.68,0.000,0.060,0.038,0.098,,0.611,0.389
11/27/16,-2.67,0.000,0.060,0.038,0.098,,0.612,0.388
11/28/16,-2.67,0.000,0.060,0.038,0.098,,0.612,0.388
11/29/16,-2.67,0.000,0.060,0.038,0.099,,0.613,0.387
11/30/16,-2.66,0.000,0.061,0.038,0.099,,0.615,0.385
12/1/16,-2.73,0.000,0.056,0.038,0.095,,0.596,0.404
12/2/16,-2.75,0.000,0.055,0.038,0.094,,0.592,0.408
12/3/16,-2.76,0.000,0.054,0.038,0.093,,0.587,0.413
12/4/16,-2.77,0.000,0.054,0.038,0.092,,0.585,0.415
12/5/16,-2.73,0.000,0.056,0.038,0.095,,0.596,0.404
12/6/16,-2.73,0.000,0.057,0.038,0.095,,0.597,0.403
12/7/16,-2.77,0.000,0.054,0.038,0.092,,0.585,0.415
12/8/16,-2.82,0.000,0.051,0.038,0.089,,0.571,0.429
12/9/16,-2.82,0.000,0.050,0.038,0.089,,0.570,0.430
12/10/16,-2.80,0.000,0.052,0.038,0.090,,0.577,0.423
12/11/16,-2.78,0.000,0.053,0.038,0.091,,0.582,0.418
12/12/16,-2.79,0.000,0.052,0.038,0.090,,0.579,0.421
12/13/16,-2.81,0.000,0.051,0.038,0.089,,0.573,0.427
12/14/16,-2.83,0.000,0.050,0.038,0.088,,0.568,0.432
12/15/16,-2.82,0.000,0.051,0.038,0.089,,0.570,0.430
12/16/16,-2.74,0.000,0.055,0.038,0.094,,0.593,0.407
12/17/16,-2.75,0.000,0.055,0.038,0.093,,0.590,0.410
12/18/16,-2.85,0.000,0.048,0.038,0.086,,0.559,0.441
12/19/16,-2.89,0.000,0.046,0.038,0.084,,0.545,0.455
12/20/16,-2.89,0.000,0.046,0.038,0.084,,0.547,0.453
12/21/16,-2.87,0.000,0.047,0.038,0.085,,0.554,0.446
12/22/16,-2.84,0.000,0.049,0.038,0.087,,0.562,0.438
12/23/16,-2.83,0.000,0.050,0.038,0.088,,0.568,0.432
12/24/16,-2.81,0.000,0.051,0.038,0.089,,0.572,0.428
12/25/16,-2.79,0.000,0.052,0.038,0.090,,0.580,0.420
12/26/16,-2.89,0.000,0.046,0.038,0.084,,0.548,0.452
12/27/16,-2.91,0.000,0.045,0.038,0.083,,0.541,0.459
12/28/16,-2.89,0.000,0.046,0.038,0.084,,0.546,0.454
12/29/16,-2.93,0.000,0.043,0.038,0.081,,0.533,0.467
12/30/16,-2.88,0.000,0.046,0.038,0.084,,0.551,0.449
12/31/16,-2.84,0.000,0.049,0.038,0.087,,0.563,0.437
1/1/17,-2.83,0.000,0.049,0.038,0.087,,0.566,0.434
1/2/17,-2.86,0.000,0.048,0.038,0.086,,0.559,0.441
1/3/17,-2.89,0.000,0.046,0.038,0.084,,0.548,0.452
1/4/17,-2.86,0.000,0.048,0.038,0.085,,0.557,0.443
1/5/17,-2.83,0.000,0.050,0.038,0.088,,0.568,0.432
1/6/17,-2.89,0.000,0.046,0.038,0.084,,0.548,0.452
1/7/17,-2.95,0.000,0.042,0.038,0.080,,0.526,0.474
1/8/17,-2.94,0.000,0.042,0.038,0.080,,0.528,0.472
1/9/17,-2.88,0.000,0.046,0.038,0.084,,0.549,0.451
1/10/17,-2.87,0.000,0.047,0.038,0.085,,0.553,0.447
1/11/17,-2.86,0.000,0.048,0.038,0.086,,0.558,0.442
1/12/17,-2.90,0.000,0.045,0.038,0.083,,0.543,0.457
1/13/17,-2.94,0.000,0.042,0.038,0.080,,0.529,0.471
1/14/17,-2.94,0.000,0.042,0.038,0.080,,0.527,0.473
1/15/17,-2.90,0.000,0.045,0.038,0.083,,0.545,0.455
1/16/17,-2.90,0.000,0.045,0.038,0.083,,0.543,0.457
1/17/17,-2.93,0.000,0.043,0.038,0.081,,0.533,0.467
1/18/17,-2.92,0.000,0.044,0.038,0.081,,0.536,0.464
1/19/17,-2.89,0.000,0.045,0.038,0.083,,0.546,0.454
1/20/17,-2.85,0.000,0.048,0.038,0.086,,0.560,0.440
1/21/17,-2.85,0.000,0.048,0.038,0.086,,0.559,0.441
1/22/17,-2.94,0.000,0.042,0.038,0.080,,0.530,0.470
1/23/17,-2.89,0.000,0.046,0.038,0.083,,0.547,0.453
1/24/17,-2.88,0.000,0.046,0.038,0.084,,0.549,0.451
1/25/17,-2.93,0.000,0.043,0.038,0.081,,0.534,0.466
1/26/17,-2.95,0.000,0.042,0.038,0.079,,0.525,0.475
1/27/17,-2.98,0.000,0.040,0.038,0.078,,0.514,0.486
1/28/17,-3.00,0.000,0.039,0.038,0.076,,0.506,0.494
1/29/17,-2.99,0.000,0.039,0.038,0.077,,0.508,0.492
1/30/17,-2.96,0.000,0.041,0.038,0.078,,0.519,0.481
1/31/17,-2.94,0.000,0.042,0.038,0.080,,0.530,0.470
2/1/17,-2.94,0.000,0.042,0.038,0.080,,0.529,0.471
2/2/17,-2.94,0.000,0.042,0.038,0.080,,0.528,0.472
2/3/17,-2.95,0.000,0.042,0.038,0.080,,0.526,0.474
2/4/17,-2.94,0.000,0.042,0.038,0.080,,0.529,0.471
2/5/17,-2.95,0.000,0.042,0.038,0.080,,0.527,0.473
2/6/17,-2.92,0.000,0.044,0.038,0.081,,0.537,0.463
2/7/17,-2.92,0.000,0.043,0.038,0.081,,0.536,0.464
2/8/17,-2.96,0.000,0.041,0.038,0.079,,0.522,0.478
2/9/17,-2.98,0.000,0.040,0.038,0.077,,0.514,0.486
2/10/17,-2.96,0.000,0.041,0.038,0.078,,0.520,0.480
2/11/17,-2.95,0.000,0.042,0.038,0.079,,0.525,0.475
2/12/17,-2.97,0.000,0.040,0.038,0.078,,0.515,0.485
2/13/17,-2.95,0.000,0.042,0.038,0.079,,0.526,0.474
2/14/17,-2.95,0.000,0.041,0.038,0.079,,0.523,0.477
2/15/17,-2.97,0.000,0.040,0.038,0.078,,0.518,0.482
2/16/17,-2.94,0.000,0.042,0.038,0.080,,0.529,0.471
2/17/17,-2.92,0.000,0.044,0.038,0.081,,0.536,0.464
2/18/17,-2.95,0.000,0.042,0.038,0.079,,0.524,0.476
2/19/17,-2.97,0.000,0.040,0.038,0.078,,0.517,0.483
2/20/17,-2.97,0.000,0.040,0.038,0.078,,0.516,0.484
2/21/17,-2.99,0.000,0.039,0.038,0.077,,0.511,0.489
2/22/17,-2.93,0.000,0.043,0.038,0.081,,0.533,0.467
2/23/17,-2.90,0.000,0.045,0.038,0.083,,0.545,0.455
2/24/17,-2.92,0.000,0.043,0.038,0.081,,0.535,0.465
2/25/17,-2.94,0.000,0.042,0.038,0.080,,0.528,0.472
2/26/17,-2.93,0.000,0.043,0.038,0.081,,0.533,0.467
2/27/17,-2.92,0.000,0.044,0.038,0.081,,0.537,0.463
2/28/17,-2.92,0.000,0.043,0.038,0.081,,0.536,0.464
3/1/17,-3.00,0.000,0.039,0.038,0.076,,0.507,0.493
3/2/17,-3.03,0.000,0.037,0.038,0.074,,0.494,0.506
3/3/17,-3.00,0.000,0.039,0.038,0.076,,0.507,0.493
3/4/17,-2.98,0.000,0.040,0.038,0.078,,0.515,0.485
3/5/17,-2.93,0.000,0.043,0.038,0.080,,0.533,0.467
3/6/17,-2.91,0.000,0.044,0.038,0.082,,0.539,0.461
3/7/17,-3.01,0.000,0.038,0.038,0.076,,0.502,0.498
3/8/17,-3.00,0.000,0.038,0.038,0.076,,0.506,0.494
3/9/17,-3.00,0.000,0.039,0.038,0.076,,0.506,0.494
3/10/17,-2.99,0.000,0.039,0.038,0.076,,0.508,0.492
3/11/17,-2.98,0.000,0.040,0.038,0.077,,0.514,0.486
3/12/17,-2.97,0.000,0.040,0.038,0.078,,0.517,0.483
3/13/17,-2.98,0.000,0.040,0.038,0.077,,0.513,0.487
3/14/17,-2.99,0.000,0.039,0.038,0.077,,0.509,0.491
3/15/17,-2.99,0.000,0.039,0.038,0.077,,0.509,0.491
3/16/17,-2.97,0.000,0.040,0.038,0.078,,0.517,0.483
3/17/17,-2.98,0.000,0.040,0.038,0.077,,0.514,0.486
