ï»¿Fig. 6a. Annual variations in pore water total dissolved nitrogen (TDN),,,,,,,,,,,,,
Fig. 6b. Annual variations in calculated TDN export rates along different zones of the hillslope,,,,,,,,,,,,,
"Fig. 6c. Subsurface C-Q relation for TDN, showing that discharge-dependence of annual cycles of flow-weighted TDN concentrations ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,6a,6a,6a,6a,,6b,6b,6b,6b,6b,,6c,6c
date,soil TDN,weathering zone TDN,fractured bedrock TDN,flow-weighted TDN,,soil TDN,weathering zone TDN,bedrock TDN,total TDN,total flow,,total flow,flow-weighted TDN
,ÂµM,ÂµM,ÂµM,ÂµM,,mmol/(m day),mmol/(m day),mmol/(m day),mmol/(m day),m3/(m day),,m3/(m day),ÂµM
10/1/16,,106.7,48.9,85.5,,,7.14,1.90,9.04,0.106,,0.106,85.5
10/2/16,,107.5,49.0,86.3,,,7.37,1.90,9.27,0.107,,0.107,86.3
10/3/16,,108.4,49.0,86.8,,,7.41,1.90,9.31,0.107,,0.107,86.8
10/4/16,,109.2,49.0,87.3,,,7.42,1.90,9.32,0.107,,0.107,87.3
10/5/16,,110.0,49.0,87.4,,,7.25,1.91,9.15,0.105,,0.105,87.4
10/6/16,,110.9,49.1,88.5,,,7.58,1.91,9.48,0.107,,0.107,88.5
10/7/16,,111.7,49.1,89.0,,,7.59,1.90,9.50,0.107,,0.107,89.0
10/8/16,,112.6,49.1,89.4,,,7.57,1.90,9.47,0.106,,0.106,89.4
10/9/16,,113.4,49.1,90.0,,,7.68,1.91,9.58,0.106,,0.106,90.0
10/10/16,,114.3,49.2,90.4,,,7.65,1.91,9.56,0.106,,0.106,90.4
10/11/16,,115.1,49.2,90.8,,,7.61,1.91,9.52,0.105,,0.105,90.8
10/12/16,,116.0,49.2,91.4,,,7.70,1.91,9.61,0.105,,0.105,91.4
10/13/16,,116.8,49.2,91.6,,,7.60,1.91,9.51,0.104,,0.104,91.6
10/14/16,,117.7,49.3,92.2,,,7.67,1.91,9.58,0.104,,0.104,92.2
10/15/16,,118.5,49.3,92.0,,,7.37,1.91,9.28,0.101,,0.101,92.0
