ï»¿soil matric potential data obtained with embedded Decgon MPS6 sensors,,,,,,,,,,,,,
PLM2,,,,,PLM1,,,,PLM3,,,,
,"MPS data,   kPa",,,,,"MPS data,   kPa",,,,"MPS data,   kPa",,,
"soil depth, m",0.28 m,0.40 m,0.55 m,1.00 m,,0.30 m,0.58 m,1.05 m,,0.20 m,0.41 m,0.62 m,1.00 m
,kPa,kPa,kPa,kPa,,kPa,kPa,kPa,,kPa,kPa,kPa,kPa
2/1/17,-455.6,-7949.5,-112.9,-661.7,4/1/18,-436.0,-749.7,-7970.0,4/1/20,-7999.0,-7999.0,-7999.0,-376.3
2/2/17,-413.8,-7822.2,-113.8,-665.9,4/2/18,-417.3,-617.5,-7968.0,4/2/20,-7999.0,-7999.0,-7999.0,-375.5
2/3/17,-376.7,-7710.9,-114.7,-664.4,4/3/18,-395.2,-507.9,-7856.5,4/3/20,-7999.0,-7999.0,-7999.0,-377.6
2/4/17,-347.8,-7717.6,-117.8,-673.9,4/4/18,-373.1,-400.9,-7776.5,4/4/20,-7999.0,-7999.0,-7999.0,-378.2
2/5/17,-316.1,-7523.5,-118.1,-670.2,4/5/18,-350.2,-346.5,-7653.2,4/5/20,-6807.1,-7999.0,-7999.0,-377.8
2/6/17,-290.1,-7497.8,-119.8,-673.9,4/6/18,-323.0,-325.8,-7845.0,4/6/20,-202.3,-7999.0,-7999.0,-378.4
2/7/17,-269.9,-7359.7,-122.2,-693.2,4/7/18,-282.6,-311.6,-7438.5,4/7/20,-11.9,-7999.0,-7999.0,-379.1
2/8/17,-248.5,-7533.6,-123.6,-681.4,4/8/18,-246.8,-303.2,-7187.5,4/8/20,-10.9,-2934.3,-7999.0,-378.5
2/9/17,-230.6,-7424.1,-125.8,-685.5,4/9/18,-207.0,-298.6,-6759.7,4/9/20,-10.8,-11.3,-7999.0,-377.4
2/10/17,-213.4,-7352.5,-128.3,-691.4,4/10/18,-167.7,-293.7,-5930.8,4/10/20,-10.8,-11.1,-7999.0,-375.6
2/11/17,-197.9,-7119.2,-129.0,-706.7,4/11/18,-132.2,-285.8,-5150.2,4/11/20,-10.8,-11.0,-5330.5,-369.8
2/12/17,-181.9,-7066.3,-131.1,-704.7,4/12/18,-97.4,-273.1,-4420.3,4/12/20,-10.7,-10.9,-34.8,-361.9
2/13/17,-167.2,-7166.3,-132.8,-701.0,4/13/18,-66.5,-263.2,-3603.4,4/13/20,-10.8,-10.8,-12.4,-355.3
2/14/17,-149.1,-6980.6,-133.5,-696.2,4/14/18,-50.7,-254.7,-3122.7,4/14/20,-10.9,-10.8,-11.1,-345.4
2/15/17,-128.3,-6821.5,-135.2,-693.9,4/15/18,-41.8,-245.5,-2652.4,4/15/20,-10.9,-10.8,-10.9,-340.2
2/16/17,-99.3,-6836.0,-137.4,-698.8,4/16/18,-30.3,-223.6,-2260.5,4/16/20,-10.9,-10.8,-10.8,-324.8
2/17/17,-66.2,-6927.2,-139.9,-701.6,4/17/18,-16.6,-158.2,-1917.9,4/17/20,-11.0,-10.8,-10.8,-324.0
2/18/17,-39.5,-7127.5,-143.4,-708.2,4/18/18,-12.3,-44.4,-1625.3,4/18/20,-11.0,-10.7,-10.7,-317.0
2/19/17,-23.1,-7128.2,-145.4,-711.5,4/19/18,-12.6,-17.8,-1385.1,4/19/20,-10.9,-10.6,-10.6,-308.1
2/20/17,-18.4,-7076.4,-146.7,-711.8,4/20/18,-12.8,-16.0,-1189.4,4/20/20,-10.8,-10.5,-10.5,-301.4
2/21/17,-17.2,-7056.1,-150.2,-718.0,4/21/18,-12.9,-15.1,-1028.5,4/21/20,-10.7,-10.5,-10.4,-293.5
2/22/17,-16.4,-6976.3,-152.2,-722.9,4/22/18,-12.6,-13.9,-556.8,4/22/20,-10.5,-10.3,-10.3,-284.0
2/23/17,-15.6,-6627.2,-152.6,-723.4,4/23/18,-12.3,-11.5,-11.2,4/23/20,-10.5,-10.3,-10.3,-278.1
2/24/17,-15.0,-6331.4,-153.2,-721.7,4/24/18,-12.0,-11.1,-11.0,4/24/20,-10.5,-10.2,-10.3,-271.1
2/25/17,-14.5,-6343.4,-153.4,-717.6,4/25/18,-11.9,-11.2,-10.9,4/25/20,-10.5,-10.2,-10.2,-263.7
2/26/17,-14.1,-6221.7,-156.3,-721.2,4/26/18,-12.0,-11.2,-10.8,4/26/20,-10.5,-10.2,-10.2,-257.2
2/27/17,-13.8,-6174.6,-160.5,-732.1,4/27/18,-12.0,-11.2,-10.8,4/27/20,-10.5,-10.1,-10.2,-247.4
2/28/17,-13.6,-4623.3,-161.9,-763.5,4/28/18,-12.0,-11.2,-10.7,4/28/20,-10.5,-10.1,-10.2,-239.8
3/1/17,-13.5,-5505.3,-161.9,-733.5,4/29/18,-12.0,-11.2,-10.7,4/29/20,-10.4,-10.1,-10.1,-228.9
3/2/17,-13.4,-5578.1,-162.8,-733.0,4/30/18,-12.0,-11.1,-10.6,4/30/20,-10.4,-10.0,-10.1,-219.8
3/3/17,-13.4,-5161.7,-165.6,-737.3,5/1/18,-11.9,-11.1,-10.5,5/1/20,-10.4,-10.0,-10.1,-211.2
3/4/17,-13.4,-4353.6,-167.9,-741.7,5/2/18,-11.8,-11.0,-10.5,5/2/20,-10.5,-10.0,-9.7,-202.7
3/5/17,-13.5,-3547.9,-169.9,-748.4,5/3/18,-11.7,-10.9,-10.4,5/3/20,-10.5,-10.0,-9.2,-35.3
3/6/17,-13.5,-3057.5,-169.6,-748.1,5/4/18,-11.6,-10.8,-10.4,5/4/20,-10.4,-9.6,-9.2,-11.8
3/7/17,-13.5,-2638.8,-170.4,-746.2,5/5/18,-11.5,-10.6,-10.3,5/5/20,-10.3,-9.4,-9.1,-11.4
3/8/17,-13.6,-2187.8,-173.0,-750.1,5/6/18,-11.4,-10.5,-10.3,5/6/20,-10.3,-9.6,-9.1,-11.3
3/9/17,-13.6,-1870.2,-173.6,-752.5,5/7/18,-11.4,-10.4,-10.3,5/7/20,-10.3,-9.7,-9.1,-11.2
3/10/17,-13.7,-1606.6,-174.0,-756.5,5/8/18,-11.3,-10.3,-10.3,5/8/20,-10.3,-9.7,-9.1,-11.2
3/11/17,-13.6,-1403.2,-175.6,-761.2,5/9/18,-11.3,-10.2,-10.2,5/9/20,-10.4,-9.8,-9.1,-11.2
3/12/17,-12.8,-1246.5,-175.0,-762.0,5/10/18,-11.2,-10.1,-10.2,5/10/20,-10.4,-9.8,-9.0,-11.2
3/13/17,-12.6,-1123.6,-175.1,-762.9,5/11/18,-11.2,-10.1,-10.2,5/11/20,-10.4,-9.8,-9.0,-11.1
3/14/17,-12.4,-1000.0,-175.8,-770.6,5/12/18,-11.2,-10.1,-10.2,5/12/20,-10.3,-9.8,-9.0,-11.2
3/15/17,-11.4,-69.7,-77.4,-769.7,5/13/18,-11.3,-10.1,-10.2,5/13/20,-10.4,-9.8,-9.0,-11.2
3/16/17,-10.9,-11.9,-12.4,-703.3,5/14/18,-11.3,-10.1,-10.3,5/14/20,-10.5,-9.8,-9.0,-11.3
3/17/17,-10.7,-11.6,-11.7,-670.3,5/15/18,-11.3,-10.1,-10.3,5/15/20,-10.6,-9.8,-9.0,-11.2
3/18/17,-10.6,-11.5,-11.4,-648.7,5/16/18,-11.4,-10.2,-10.3,5/16/20,-10.7,-9.9,-9.0,-11.2
3/19/17,-10.5,-11.4,-11.3,-620.0,5/17/18,-11.4,-10.2,-10.3,5/17/20,-10.8,-9.9,-9.0,-11.2
3/20/17,-10.3,-11.2,-11.2,-588.6,5/18/18,-11.5,-10.2,-10.3,5/18/20,-10.8,-9.9,-9.1,-11.2
3/21/17,-10.3,-11.2,-11.1,-447.2,5/19/18,-11.6,-10.3,-10.3,5/19/20,-10.9,-9.9,-9.1,-11.1
3/22/17,-10.2,-11.1,-11.1,-96.9,5/20/18,-11.6,-10.3,-10.3,5/20/20,-10.9,-9.9,-9.1,-11.2
