Year,Site,SFA_Location,Treatment,Elevation,DOY.sf,NDVI75,NDVI75.end,NDVI.LOS
2017,LM,ER-LMB1L,control,2775,133,154,230,76
2017,LM,ER-LMB1R,control,2775,133,160,251,91
2017,LM,ER-LMB2L,control,2775,133,152,238,86
2017,LM,ER-LMB2R,control,2775,133,163,231,68
2018,LM,ER-LMB1L,control,2775,113,146,230,84
2018,LM,ER-LMB1R,control,2775,113,152,260,108
2018,LM,ER-LMB2L,early,2775,103,156,238,82
2018,LM,ER-LMB2R,early,2775,103,160,226,66
2019,LM,ER-LMB1L,control,2775,137,168,228,60
2019,LM,ER-LMB1R,control,2775,137,170,238,68
2019,LM,ER-LMB2L,early,2775,114,170,234,64
2019,LM,ER-LMB2R,early,2775,114,172,238,66
2020,LM,ER-LMB1L,control,2775,123,158,198,40
2020,LM,ER-LMB1R,control,2775,123,,,
2020,LM,ER-LMB2L,control,2775,123,168,230,62
2020,LM,ER-LMB2R,control,2775,123,165,221,56
2017,LSA,WG-LSB1L,control,3119,152,179,228,49
2017,LSA,WG-LSB1R,control,3119,152,182,244,62
2017,LSA,WG-LSB2L,control,3118,152,180,227,47
2017,LSA,WG-LSB2R,control,3118,152,195,243,48
2018,LSA,WG-LSB1L,control,3119,133,158,206,48
2018,LSA,WG-LSB1R,control,3119,133,,,
2018,LSA,WG-LSB2L,early,3118,125,156,196,40
2018,LSA,WG-LSB2R,early,3118,125,159,209,50
2019,LSA,WG-LSB1L,control,3119,169,193,226,33
2019,LSA,WG-LSB1R,control,3119,169,,,
2019,LSA,WG-LSB2L,early,3118,156,179,228,49
2019,LSA,WG-LSB2R,early,3118,156,186,236,50
2020,LSA,WG-LSB1L,control,3119,142,166,211,45
2020,LSA,WG-LSB1R,control,3119,142,166,218,52
2020,LSA,WG-LSB2L,control,3118,142,168,212,44
2020,LSA,WG-LSB2R,control,3118,142,168,220,52
2017,UM,WG-UMB1L,control,2947,147,186,239,53
2017,UM,WG-UMB1R,control,2947,147,185,232,47
2017,UM,WG-UMB2L,control,2946,147,177,224,47
2017,UM,WG-UMB2R,control,2946,147,182,230,48
2018,UM,WG-UMB1L,early,2947,117,,,
2018,UM,WG-UMB1R,early,2947,117,158,244,86
2018,UM,WG-UMB2L,control,2946,124,155,249,94
2018,UM,WG-UMB2R,control,2946,124,153,215,62
2019,UM,WG-UMB1L,early,2947,128,,,
2019,UM,WG-UMB1R,early,2947,128,,,
2019,UM,WG-UMB2L,control,2946,156,182,240,58
2019,UM,WG-UMB2R,control,2946,156,180,231,51
2020,UM,WG-UMB1L,control,2947,130,,,
2020,UM,WG-UMB1R,control,2947,130,162,235,73
2020,UM,WG-UMB2L,control,2946,130,164,242,78
2020,UM,WG-UMB2R,control,2946,130,162,239,77
2017,USA,WG-USC1L,control,3460,180,204,244,40
2017,USA,WG-USC1R,control,3460,180,204,244,40
2017,USA,WG-USC2L,control,3461,180,204,244,40
2017,USA,WG-USC2R,control,3461,180,202,244,42
2018,USA,WG-USC1L,control,3460,148,175,234,59
2018,USA,WG-USC1R,control,3460,148,174,236,62
2018,USA,WG-USC2L,early,3461,141,171,230,59
2018,USA,WG-USC2R,early,3461,141,170,240,70
