Column_or_Row_Name,Unit,Definition,Data_Type
File_Name,N/A,Name of the files in the dataset/data package.,text
File_Description,N/A,A brief description of the files in the dataset/data package.,text
Standard,N/A,Standard applied to the data file.,text
UTC_Offset,N/A,UTC offset of date/timestamp.,numeric
File_Version,N/A,Version number of file.,numeric
Contact,N/A,Contact for the associated file.,text
Date_Start,YYYY-MM-DD,Start of data contained within file.,date
Date_End,YYYY-MM-DD,End of data contained within file.,date
Missing_Value_Codes,N/A,Missing value codes.,text
Data_Orientation,N/A,Orientation of the field name row or column.,text
File_Path,N/A,File path within the data package.,text
Column_or_Row_Name,N/A,Column or row name contained within a file.,text
Unit,N/A,Unit of column or row name.,text
Definition,N/A,Definition of column or row name.,text
Data_Type,N/A,Type of data that the column or row contains.,text
Sample,N/A,Sample name and location name of tracer data collection.,text
Sample_Date,MM/DD/YYYY,Date of sample collection for tracer data.,date
CFC11,pmol/kg,CFC11 measurement in pmol/kg. All samples analyzed at the University of Utah's Noble Gas Lab. The CFC concentrations are means of triplicate samples.,numeric
CFC11_sd,pmol/kg,Standard deviation of CFC11. 1 standard deviation of the triplicate samples.,numeric
CFC12,pmol/kg,CFC12 measurement in pmol/kg. All samples analyzed at the University of Utah's Noble Gas Lab. The CFC concentrations are means of triplicate samples.,numeric
CFC12_sd,pmol/kg,Standard deviation of CFC12. 1 standard deviation of the triplicate samples.,numeric
CFC113,pmol/kg,CFC13 measurement in pmol/kg. All samples analyzed at the University of Utah's Noble Gas Lab. The CFC concentrations are means of triplicate samples.,numeric
CFC113_sd,pmol/kg,Standard deviation of CFC13. 1 standard deviation of the triplicate samples.,numeric
SF6,fmol/kg,SF6 measurement in fmol/kg. All samples analyzed at the University of Utah's Noble Gas Lab.,numeric
H3,TU,H3 measurement in TU. All samples analyzed at the University of Utah's Noble Gas Lab.,numeric
H3_sd,TU,Standard deviation of H3. 1 standard deviation reported by University of Utah Noble Gas Lab.,numeric
SiteID,N/A,Site where sample was collected for noblegas measurements.,text
Date Sampled,MM/DD/YYYY,Date of sample collection for noble gas data.,date
Date Run,MM/DD/YYYY,Date of sample run for noble gas data.,date
4He,ccSTP/g(H2O) ,4He measurement in ccSTP/g(H2O).,numeric
err4He,ccSTP/g(H2O) ,Error for 4He measurement.,numeric
Ne,ccSTP/g(H2O) ,Ne measurement in ccSTP/g(H2O).,numeric
errNe,ccSTP/g(H2O) ,Error for Ne measurement.,numeric
Ar,ccSTP/g(H2O) ,Ar measurement in ccSTP/g(H2O).,numeric
errAr,ccSTP/g(H2O) ,Error for Ar measurement.,numeric
Kr,ccSTP/g(H2O) ,Kr measurement in ccSTP/g(H2O).,numeric
errKr,ccSTP/g(H2O) ,Error for Kr measurement.,numeric
Xe,ccSTP/g(H2O) ,Xe measurement in ccSTP/g(H2O).,numeric
errXe,ccSTP/g(H2O) ,Error for Xe measurement.,numeric
N2,ccSTP/g(H2O) ,N2 measurement in ccSTP/g(H2O). N2 value based on N2/Ar ratio measured on Quadrapole Mass Spectrometer multiplied by Ar from MAP 215-50.,numeric
errN2,ccSTP/g(H2O) ,Error for N2 measurement.,numeric
CH4,ccSTP/g(H2O) ,Ch4 measurement in ccSTP/g(H2O).,numeric
errCH4,ccSTP/g(H2O) ,Error for CH4 measurement.,numeric
R/Ra,N/A, Measured 3He/4He of sample divided by 3He/4He ratio of air.,numeric
errR/Ra,N/A, Error for measured 3He/4He of sample divided by 3He/4He ratio of air.,numeric
3He,ccSTP/g(H2O) ,3He measurement in ccSTP/g(H2O),numeric
err3He,ccSTP/g(H2O) ,Error for 3He measurement in ccSTP/g(H2O),numeric
20Ne/22Ne,N/A,Measured Ne isotope ratio.,numeric
err20Ne/22Ne,N/A,Error for measured Ne isotope ratio.,numeric
40Ar/36Ar,N/A,Measured Ar isotope ratio.,numeric
err40Ar/36Ar,N/A,Error for measured Ar isotope ratio.,numeric
86Kr/84Kr,N/A,Measured Kr isotope ratio.,numeric
err86Kr/84Kr,N/A,Error for measured Kr isotope ratio.,numeric
130Xe/132Xe,N/A,Measured Xe isotope ratio.,numeric
err130Xe/132Xe,N/A,Error for measured Xe isotope ratio.,numeric
Laboratory Comments,N/A,Laboratory comments associated with data collection or analysis.,text
CFC11,pptv,cfc11 input concentration in pptv,numeric
CFC12,pptv,cfc12 input concentration in pptv,numeric
CFC113,pptv,cfc113 input concentration in pptv,numeric
SF6,pptv,sf6 input concentration in pptv,numeric
H3,tu,tritum input concentration in tritium units (TU).,numeric
run,N/A,Model run number,numeric
mod,N/A,Model type identifier.,text
f1,N/A,Mixing fraction for component 1 in lumped parameter mdoel.,numeric
