File_Name,File_Description,Standard,UTC_Offset,File_Version,Contact,Date_Start,Date_End,Missing_Value_Codes,Data_Orientation,File_Path
flmd.csv,File-level metadata associated with dataset describing files contained within dataset,ESS-DIVE Reporting Format for File-level Metadata v1.0.0,-9999,1,Nicholas Thiros,-9999,-9999,N/A; -9999,vertical,N/A
dd.csv,Data dictionary defining column headers and other terms contained within data files across the dataset,ESS-DIVE Reporting Format for File-level Metadata v1.0.0,-9999,1,Nicholas Thiros,-9999,-9999,N/A; -9999,vertical,N/A
README.md,"README file contains description of dataset contents, directory notes and procedure, and steps to re-create manuscript python steps.",N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC
C_in_dict.pk,tracer concentration input time series,N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC/age_ens_runs_mcmc
ens_dict.pk,posterior predictive tracer concentration uncertainty distributions,N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC/age_ens_runs_mcmc
J_ens.txt,He4 accumulation rate uncertainty distribution,N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC/age_ens_runs_mcmc
map_dict.pk,maximum a posteriori posterior predictive tracer concentrations,N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC/age_ens_runs_mcmc
run_age_mcmc_utils.py,python utility script for convolution intergral,N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC/age_ens_runs_mcmc
run_age_mcmc.post_plots.comp.py,python plotting script,N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC/age_ens_runs_mcmc
run_age_mcmc.py,python script to perfrom age mcmc analysis,N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC/age_ens_runs_mcmc
PLM1.CFC12.exponential.0.netcdf,saved groundwater age mcmc trace,N/A,-9999,1,Nicholas Thiros,-9999,-9999,N/A,N/A,NobleGas_RTD_MCMC/age_ens_runs_mcmc/conv_traces
