Data for Figure 1a.,,,,,,,,,,Data for Figure 1b.,,,,,,,,
Date (MT),0.20 m,0.40 m,0.75 m,1.00 m,1.50 m,2.50 m,4.63 m,6.00 m,,,,,,,,,,
5/1/13 0:00,,,12.28,11.13,9.71,9.59,10.27,10.68,,04/01/14,07/01/14,10/01/14,01/01/15,04/01/15,07/01/15,10/01/15,01/01/16,"depth, m"
5/1/13 1:00,,,12.36,11.32,9.86,9.61,10.26,10.68,,10.53,27.8,13.7,1.00,12.49,25.22,17.61,-0.41,-0.20
5/2/13 1:00,,,12.13,11.47,10.13,9.68,10.27,10.68,,8.99,24.5,15.6,1.85,11.02,22.74,17.91,1.49,-0.40
5/3/13 1:00,,,11.89,11.40,10.32,9.76,10.27,10.68,,7.7,22.1,17.4,3.45,10.67,21.03,18.12,3.62,-0.75
5/4/13 1:00,,,12.01,11.41,10.43,9.86,10.27,10.67,,7.5,20.4,17.8,4.43,9.85,19.16,17.65,4.11,-1.00
5/5/13 1:00,,,12.40,11.59,10.53,9.94,10.27,10.68,,7.3,17.6,17.9,6.54,8.80,16.14,17.16,6.15,-1.50
5/6/13 1:00,,,12.79,11.89,10.66,10.02,10.28,10.67,,7.9,14.7,17.6,9.65,8.77,13.74,16.82,9.11,-2.50
5/7/13 1:00,,,12.94,12.12,10.82,10.12,10.29,10.67,,9.6,11.8,15.5,12.68,9.86,11.48,15.14,12.61,-4.63
5/8/13 1:00,,,12.84,12.21,10.98,10.21,10.30,10.67,,10.4,11.4,14.5,13.33,10.60,11.34,14.18,13.23,-6.00
5/9/13 1:00,,,12.45,12.12,11.10,10.28,10.30,10.68,,,,,,,,,,
5/10/13 1:00,,,12.48,12.01,11.16,10.36,10.32,10.68,,,,,,,,,,
5/11/13 1:00,,,12.84,12.15,11.20,10.44,10.33,10.69,,,,,,,,,,
5/12/13 1:00,,,13.35,12.43,11.29,10.51,10.34,10.69,,,,,,,,,,
5/13/13 1:00,,,14.01,12.84,11.42,10.58,10.36,10.69,,,,,,,,,,
5/14/13 1:00,,,14.70,13.34,11.62,10.65,10.38,10.70,,,,,,,,,,
5/15/13 1:00,,,15.31,13.85,11.87,10.73,10.39,10.70,,,,,,,,,,
5/16/13 1:00,,,15.54,14.24,12.15,10.83,10.41,10.71,,,,,,,,,,
5/17/13 1:00,,,15.81,14.50,12.41,10.93,10.43,10.72,,,,,,,,,,
5/18/13 1:00,,,16.17,14.82,12.65,11.05,10.45,10.74,,,,,,,,,,
5/19/13 1:00,,,16.11,15.02,12.89,11.16,10.48,10.75,,,,,,,,,,
5/20/13 1:00,,,15.83,14.98,13.08,11.29,10.50,10.76,,,,,,,,,,
5/21/13 1:00,,,15.72,14.92,13.20,11.41,10.53,10.77,,,,,,,,,,
5/22/13 1:00,,,15.91,14.96,13.29,11.54,10.55,10.78,,,,,,,,,,
5/23/13 1:00,,,16.36,15.18,13.38,11.67,10.57,10.80,,,,,,,,,,
