data for Figure 3a.,,,,,,,,,,data for Figure 3b.,,,,,,,,,,,,
"Time, min",Time,103 <center 180 cm> (C),104 <center 140 cm> (C),106 <center 60 cm> (C),201 <Shallow 180 cm> (C),202 <Shallow 140 cm> (C),204 <Shallow 60 cm> (C),,,laboratory column results,,,,,,,field results,"interpolated from TT04 and TT05 probes (file = ""TT04,TT05 T(z,t) seasonal"")",,,,
0.17,5/13/2015 11:14:07:209,16.995,15.011,13.436,17.754,15.939,14.821,,,"11-12-15, #1",1-5-16 #1,5/5/16,5-19-16 #1,10-5-15  #1,field depth,,"field depth,",3/1/15,4/1/15,5/18/15,7/29/15,10/1/15
0.33,5/13/2015 11:14:17:194,16.998,15.021,13.439,17.746,15.95,14.811,,,winter,spring,late spring,summer ,fall,m,,m,,,,,
0.50,5/13/2015 11:14:27:194,16.995,15.018,13.413,17.752,15.934,14.808,,,5.9,8.8,14.2,20.5,18.7,-1.9,,-2,6.5,9.5,12.5,19,18
0.67,5/13/2015 11:14:37:194,16.982,15.011,13.426,17.742,15.937,14.768,,,6.4,8.8,13.5,19.2,18.5,-2.1,,-2.5,7.6,8.6,11.7,16.5,17.5
0.83,5/13/2015 11:14:47:194,16.982,15.018,13.426,17.726,15.927,14.798,,,7.1,8.4,13.1,18.0,17.9,-2.5,,-3,8.5,8.7,11,15.5,17
1.00,5/13/2015 11:14:57:194,16.979,15.024,13.413,17.78,15.96,14.812,,,8.9,9.2,12.5,16.6,17.9,-2.9,,-3.5,9,9,10.7,14.9,16.5
1.17,5/13/2015 11:15:07:194,16.975,15.011,13.407,17.764,15.952,14.782,,,9.6,9.6,13.1,17.3,18.1,-2.902,,,,,,,
1.33,5/13/2015 11:15:17:194,16.992,15.031,13.417,17.749,15.946,14.773,,,10.0,9.7,12.3,16.1,17.7,-3.1,,,,,,,
1.50,5/13/2015 11:15:27:194,16.988,15.008,13.413,17.762,15.962,14.773,,,10.8,9.8,12.1,15.8,17.3,-3.3,,,,,,,
1.67,5/13/2015 11:15:37:194,16.979,15.021,13.426,17.754,15.945,14.756,,,10.7,9.8,11.7,15.4,17.3,-3.302,,,,,,,
1.83,5/13/2015 11:15:47:194,16.975,15.044,13.42,17.754,15.952,14.763,,,11.2,9.7,11.1,14.6,16.9,-3.5,,,,,,,
2.00,5/13/2015 11:15:57:194,16.962,15.024,13.417,17.718,15.958,14.75,,,,,,,,,,,,,,,
2.17,5/13/2015 11:16:07:194,16.975,15.037,13.433,17.726,15.95,14.752,,,,,,,,,,,,,,,
2.33,5/13/2015 11:16:17:194,16.946,15.021,13.423,17.707,15.95,14.729,,,,,,,,,,,,,,,
2.50,5/13/2015 11:16:27:194,16.969,15.034,13.426,17.705,15.968,14.753,,,,,,,,,,,,,,,
2.67,5/13/2015 11:16:37:194,16.962,15.031,13.404,17.718,15.965,14.714,,,,,,,,,,,,,,,
2.83,5/13/2015 11:16:47:194,16.962,15.047,13.423,17.723,15.978,14.737,,,,,,,,,,,,,,,
3.00,5/13/2015 11:16:57:194,16.956,15.028,13.407,17.722,15.971,14.737,,,,,,,,,,,,,,,
3.17,5/13/2015 11:17:07:194,16.985,15.047,13.42,17.71,15.95,14.7,,,,,,,,,,,,,,,
3.33,5/13/2015 11:17:17:194,16.94,15.054,13.404,17.73,15.959,14.698,,,,,,,,,,,,,,,
3.50,5/13/2015 11:17:27:194,16.953,15.024,13.391,17.731,15.958,14.694,,,,,,,,,,,,,,,
3.67,5/13/2015 11:17:37:194,16.962,15.047,13.41,17.71,15.953,14.7,,,,,,,,,,,,,,,
3.83,5/13/2015 11:17:47:194,16.943,15.06,13.407,17.728,15.957,14.676,,,,,,,,,,,,,,,
4.00,5/13/2015 11:17:57:194,16.949,15.034,13.4,17.731,15.965,14.665,,,,,,,,,,,,,,,
4.17,5/13/2015 11:18:07:194,16.94,15.063,13.417,17.723,15.995,14.679,,,,,,,,,,,,,,,
4.33,5/13/2015 11:18:17:194,16.966,15.044,13.417,17.746,15.978,14.672,,,,,,,,,,,,,,,
4.50,5/13/2015 11:18:27:194,16.949,15.067,13.404,17.725,15.981,14.649,,,,,,,,,,,,,,,
4.67,5/13/2015 11:18:37:194,16.972,15.044,13.387,17.734,15.986,14.659,,,,,,,,,,,,,,,
4.83,5/13/2015 11:18:47:194,16.962,15.057,13.417,17.721,15.98,14.676,,,,,,,,,,,,,,,
5.00,5/13/2015 11:18:57:194,16.949,15.067,13.378,17.731,15.98,14.659,,,,,,,,,,,,,,,
5.17,5/13/2015 11:19:07:194,16.959,15.063,13.381,17.76,16.014,14.645,,,,,,,,,,,,,,,
5.33,5/13/2015 11:19:17:194,16.949,15.054,13.378,17.736,15.99,14.614,,,,,,,,,,,,,,,
5.50,5/13/2015 11:19:27:194,16.966,15.054,13.381,17.75,16.018,14.664,,,,,,,,,,,,,,,
5.67,5/13/2015 11:19:37:194,16.956,15.047,13.4,17.746,15.994,14.605,,,,,,,,,,,,,,,
5.83,5/13/2015 11:19:47:194,16.975,15.06,13.391,17.737,15.995,14.628,,,,,,,,,,,,,,,
6.00,5/13/2015 11:19:57:194,16.959,15.063,13.387,17.755,16,14.618,,,,,,,,,,,,,,,
6.17,5/13/2015 11:20:07:194,16.979,15.063,13.378,17.767,16.018,14.622,,,,,,,,,,,,,,,
6.33,5/13/2015 11:20:17:194,16.969,15.083,13.404,17.758,16.009,14.612,,,,,,,,,,,,,,,
6.50,5/13/2015 11:20:27:194,16.979,15.05,13.391,17.776,16.043,14.613,,,,,,,,,,,,,,,
6.67,5/13/2015 11:20:37:194,17.011,15.057,13.384,17.773,16.027,14.619,,,,,,,,,,,,,,,
6.83,5/13/2015 11:20:47:194,16.969,15.067,13.387,17.755,16.015,14.583,,,,,,,,,,,,,,,
7.00,5/13/2015 11:20:57:194,16.969,15.057,13.384,17.776,16.023,14.613,,,,,,,,,,,,,,,
7.17,5/13/2015 11:21:07:194,17.001,15.06,13.384,17.771,16.025,14.583,,,,,,,,,,,,,,,
7.33,5/13/2015 11:21:17:194,17.014,15.076,13.391,17.804,16.034,14.584,,,,,,,,,,,,,,,
7.50,5/13/2015 11:21:27:194,17.011,15.086,13.355,17.826,16.05,14.574,,,,,,,,,,,,,,,
7.67,5/13/2015 11:21:37:194,17.031,15.067,13.368,17.773,16.018,14.573,,,,,,,,,,,,,,,
7.83,5/13/2015 11:21:47:194,17.011,15.083,13.391,17.787,16.04,14.584,,,,,,,,,,,,,,,
8.00,5/13/2015 11:21:57:194,17.031,15.089,13.387,17.792,16.043,14.57,,,,,,,,,,,,,,,
8.17,5/13/2015 11:22:07:194,17.057,15.093,13.384,17.774,16.063,14.558,,,,,,,,,,,,,,,
8.33,5/13/2015 11:22:17:194,17.04,15.093,13.371,17.8,16.047,14.565,,,,,,,,,,,,,,,
8.50,5/13/2015 11:22:27:194,17.04,15.099,13.374,17.804,16.04,14.552,,,,,,,,,,,,,,,
8.67,5/13/2015 11:22:37:194,17.063,15.099,13.371,17.794,16.05,14.565,,,,,,,,,,,,,,,
8.83,5/13/2015 11:22:47:194,17.063,15.089,13.378,17.807,16.037,14.548,,,,,,,,,,,,,,,
9.00,5/13/2015 11:22:57:194,17.07,15.086,13.387,17.82,16.05,14.548,,,,,,,,,,,,,,,
9.17,5/13/2015 11:23:07:194,17.08,15.099,13.381,17.81,16.06,14.545,,,,,,,,,,,,,,,
9.33,5/13/2015 11:23:17:194,17.07,15.116,13.381,17.813,16.047,14.535,,,,,,,,,,,,,,,
9.50,5/13/2015 11:23:27:194,17.106,15.093,13.384,17.846,16.05,14.535,,,,,,,,,,,,,,,
9.67,5/13/2015 11:23:37:194,17.089,15.089,13.365,17.843,16.083,14.529,,,,,,,,,,,,,,,
9.83,5/13/2015 11:23:47:194,17.138,15.093,13.384,17.83,16.063,14.506,,,,,,,,,,,,,,,
