Figure 4a. data,,,,,,,,,,,,,
,volumetric water,,,,,,,,,,,,
"lab date, column","11-12-15, #1",1-5-16 #1,5/4/16,5-19-16 #1,7-26-16 #1,10-28-15  #1,,,,,,,
m,winter,spring,late spring,summer ,summer,fall,,"field depth,  m",,,,,
-0.2,0.162,0.175,0.423,0.346,0.293,0.187,0.187,-1.8,,,,,
-0.6,0.160,0.164,0.174,0.225,0.185,0.174,0.174,-2.2,,,,,
-0.8,0.181,0.184,0.202,0.253,0.225,0.193,0.193,-2.4,,,,,
-1,0.171,0.171,0.195,0.210,0.196,0.179,0.179,-2.6,,,,,
-1.6,0.147,0.204,0.321,0.317,0.162,0.281,0.281,-3.2,,,,,
-1.8,0.361,0.368,0.370,0.361,0.368,0.341,0.341,-3.4,,,,,
,,,,,,,,,,,,,
Figure 4b. data,,,,,,,,,,,,,
,-matric potential,,,,,,,,,,,,
"lab date, column","11-12-15, #1",1-5-16 #1,5/4/16,5-19-16 #1,7-26-16 #1,10-28-15  #1,,"-field site matric potential, kPa (mostly TT02)",,,,,
m,winter,spring,late spring,summer ,summer,fall,"field depth,  m",2/27/15,3/27/15,5/23/14,7/8/14,11/1/15,"field depth,  m"
-0.2,690,340,14.4,18.3,21.2,888,-1.8,27.6,750,18.1,9.2,81,-1.5
-0.8,47,45,19.6,10,11.2,49,-2.4,22.4,400,7.6,3.1,62,-2
-1.2,11.6,11,9.5,9.4,9.7,11.3,-2.8,18.6,17.4,0,0.01,6.8,-2.5
-1.6,8.8,8.6,8.8,8.8,8.8,8.8,-3.2,3.5,3.5,0,0.01,0.9,-3
,,,,,,,,,,,,,
"Figure 5a,b,c. data",,,,,,,,,,,,,
field season,summer,fall,winter,spring,late spring,lab summer,,,,,,,
laboratory date,8/24/15,10/9/15,11/10/15,12/17/15,4/13/16,9/18/15,"depth,  m","field depth,  m",,,,,
,"CO2,   ppm",,,,,"delta13 Cpbd, o/oo",0,-1.7,,,,,
,1279,996,723,687,838,-16.14,-0.2,-1.9,,,,,
,2203,1437,950,867,1036,-18.01,-0.4,-2.1,,,,,
,3067,2040,1189,984,1187,-18.64,-0.6,-2.3,,,,,
,3516,2401,1371,1083,1314,-18.51,-0.8,-2.5,,,,,
,3878,2537,1556,1294,,-19.27,-1,-2.7,,,,,
,4038,2803,1708,1333,,-19.37,-1.2,-2.9,,,,,
,4362,3026,1920,1426,,-19.4,-1.4,-3.1,,,,,
,,3501,2513,1857,,,-1.6,-3.3,,,,,
,,,9025,,,,-1.8,-3.5,,,,,
,,,,,,,,,,,,,
Figure 6. data,,,,,,,,,,,,,
"redox potential,  V","field depth,  m",,,,,,,,,,,,
0.011,-2.4,,,,,,,,,,,,
0.073,-2.5,,,,,,,,,,,,
0.156,-2.6,,,,,,,,,,,,
0.186,-2.7,,,,,,,,,,,,
0.27,-2.8,,,,,,,,,,,,
0.272,-2.9,,,,,,,,,,,,
0.326,-3,,,,,,,,,,,,
0.367,-3.1,,,,,,,,,,,,
0.364,-3.2,,,,,,,,,,,,
0.211,-3.3,,,,,,,,,,,,
-0.401,-3.4,,,,,,,,,,,,
