Sample,Sample ID,Sample Type,Date Range/Date,Location,"Elevation, m",Latitude,Longitude,Pb (mg/kg),206Pb/207Pb,±2s,208Pb/207Pb,±2s,% Asian Source
LS1-D,LS1016 5,Dry deposition,09/17/16 Ð 10/30/16,"East River Watershed, Lower Subalpine",3100,38.956444,-107.028861,45.3,1.206227,3.10E-05,2.458998,8.20E-05,0%
LS1-D,LS5,Dry deposition,09/17/16 Ð 10/30/16,"East River Watershed, Lower Subalpine",3100,38.956444,-107.028861,40.8,1.190526,1.80E-05,2.460943,4.70E-05,37%
LS2-S,LSO717 3,Snow,7/10/17,"East River Watershed, Lower Subalpine",3100,38.956444,-107.028861,49,1.193270,3.00E-05,2.467513,6.80E-05,54%
LS2-S,LS0717 21,Snow,7/10/17,"East River Watershed, Lower Subalpine",3100,38.956444,-107.028861,41.3,1.193749,3.00E-05,2.469005,6.30E-05,59%
LS2-S,LS0717 15,Snow,7/10/17,"East River Watershed, Lower Subalpine",3100,38.956444,-107.028861,43.6,1.193455,3.00E-05,2.468631,6.00E-05,58%
LS2-S,LS0717 10,Snow,7/10/17,"East River Watershed, Lower Subalpine",3100,38.956444,-107.028861,40.5,1.192018,3.10E-05,2.465858,6.50E-05,52%
LS2-S,LS0717 16,Snow,7/10/17,"East River Watershed, Lower Subalpine",3100,38.956444,-107.028861,44.3,1.192371,3.00E-05,2.467785,6.50E-05,58.50%
PH1-D,PH5,Dry deposition,09/17/16 Ð 10/30/16,"Pump House (East River, CO)",2800,38.920333,-106.949167,17,1.192554,2.60E-05,2.461752,8.10E-05,34%
,,,,,,,,,,,,,
SH1-D,SH4A,Dry deposition,09/02/16 Ð 11/06/16,California Southern Sierra Critical Zone Observatory,2700,37.067056,-118.987194,9,1.201856,1.90E-05,2.464025,3.40E-05,12%
SH2-S,SH-SW5,Snow,4/30/17,California Southern Sierra Critical Zone Observatory,2500,37.025333,-118.996778,17.8,1.175955,1.70E-05,2.449306,5.00E-05,38%
SH3-D,SH 9/3/17 #3,Dry deposition,07/03/17 Ð 09/03/17,California Southern Sierra Critical Zone Observatory,2700,37.067056,-118.987194,15.1,1.199895,1.40E-05,2.467068,3.80E-05,31%
SH3-D,SH 9/3/17 #9,Dry deposition,07/03/17 Ð 09/03/17,California Southern Sierra Critical Zone Observatory,2700,37.067056,-118.987194,11.3,1.195286,1.10E-01,2.462015,3.40E-05,26%
SH3-D,SH 9/3/17 #10,Dry deposition,07/03/17 Ð 09/03/17,California Southern Sierra Critical Zone Observatory,2700,37.067056,-118.987194,11.7,1.201739,1.40E-05,2.467807,4.20E-05,28%
SH3-D,SH 9/3/17 #11,Dry deposition,07/03/17 Ð 09/03/17,California Southern Sierra Critical Zone Observatory,2700,37.067056,-118.987194,11.8,1.199707,1.20E-05,2.466107,2.60E-05,28%
SJ1-D,SJER,Dry deposition,09/02/16 Ð 10/13/16,California Southern Sierra Critical Zone Observatory,400,37.107972,-119.731889,42.6,1.204379,3.70E-05,2.467054,1.42E-04,16%
SJ2-D,10SJ0717 3,Dry deposition,06/15/17 Ð 07/21/17,California Southern Sierra Critical Zone Observatory,400,37.104222,-119.721056,26.1,1.194487,2.90E-05,2.460384,5.40E-05,22%
SJ2-D,10SJ0717 4a,Dry deposition,06/15/17 Ð 07/21/17,California Southern Sierra Critical Zone Observatory,400,37.104222,-119.721056,25.5,1.194937,2.90E-05,2.458881,5.50E-05,14%
SJ2-D,10SJ0717 5,Dry deposition,06/15/17 Ð 07/21/17,California Southern Sierra Critical Zone Observatory,400,37.104222,-119.721056,24.2,1.192785,3.00E-05,2.458207,5.40E-05,19%
SJ2-D,10SJ0717 7,Dry deposition,06/15/17 Ð 07/21/17,California Southern Sierra Critical Zone Observatory,400,37.104222,-119.721056,33,1.180319,2.90E-05,2.456263,5.60E-05,52%
SJ3-D,10SJO817 1,Dry deposition,08/03/17 Ð 08/31/17,California Southern Sierra Critical Zone Observatory,400,37.104222,-119.721056,25.4,1.196959,3.00E-05,2.460900,6.40E-05,16%
SJ3-D,10SJO817 #4b,Dry deposition,08/03/17 Ð 08/31/17,California Southern Sierra Critical Zone Observatory,400,37.104222,-119.721056,22.5,1.204906,3.10E-05,2.467791,5.70E-05,17%
SJ3-D,10SJO817 #6,Dry deposition,08/03/17 Ð 08/31/17,California Southern Sierra Critical Zone Observatory,400,37.104222,-119.721056,17.6,1.202942,1.40E-05,2.464961,4.00E-05,12.50%
SJ3-D,10SJO817 #7,Dry deposition,08/03/17 Ð 08/31/17,California Southern Sierra Critical Zone Observatory,400,37.104222,-119.721056,21.6,1.204707,1.50E-05,2.464490,4.10E-05,5%
