Pumphouse - Hillslope,,,,,,,Pumphouse - Toeslope,,,,,,,Pumphouse - Floodplain,,,,,
Site,Date,Depth,[NO3],15N-NO3,18O-NO3,,Site,Date,Depth,[NO3],15N-NO3,18O-NO3,,Site,Date,Depth,[NO3],15N-NO3,18O-NO3
2017,,,,,,,2017,October_17,0-5,13.7,2.8,3.4,,2017,,,,,
Hillslope,March_17,0-5cm,21,8.3,1.9,,Toeslope,October_17,+ 15cm,58.4,2.8,-0.5,,Floodplain,March_17,+ 15cm,22.8,-5.6,6.8
Hillslope,March_17,+ 15cm,22.8,-3.1,11.8,,,,,,,,,,,,,,
Hillslope,March_17,+ 15cm,12.7,4.9,6.6,,2018,,,,,,,Floodplain,May_17,+ 15cm,20.8,-2,-5.8
,,,,,,,Toeslope,April_10_18,5-15,58.4,-0.25,-2.86,,,May_17,0-5cm,19.9,,
Hillslope,May_17,+ 15cm,13.5,2.7,-1,,Toeslope,April_10_18,5-15,55.5,2.7,-1.51,,,,,,,
,,,,,,,Toeslope,April_10_18,>15,25.3,0.18,-2.94,,Floodplain,June_17,+ 15cm,31.2,4.4,-4.2
Hillslope,June_17,0-5cm,103.6,-1.9,-1.5,,,,,,,,,,,,,,
Hillslope,June_17,+ 15cm,18.2,2.5,-3.3,,Toeslope,April_16_18,0-5,15.4,-1.47,-4.86,,Floodplain,September_17,0-5cm,,,
Hillslope,June_17,0-5cm,52.5,-1,-1,,,,,,,,,,,,,,
Hillslope,June_17,+ 15cm,83.6,-8.8,-2.7,,Toeslope,May_22_18,>15,64.8,-1.57,-1.77,,2018,,,,,
,,,,,,,Toeslope,May_22_18,5-15,44.2,-0.06,-4.93,,Floodplain,April_10_18,>15,32,2.53,-0.48
Hillslope,September_17,0-5cm,37.4,1.8,9.1,,Toeslope,May_22_18,0-5,60.3,-1.59,-5.01,,Floodplain,April_10_18,5-15,28.6,2.09,1.25
Hillslope,September_17,0-5cm,12.1,-0.4,12.3,,,,,,,,,,,,,,
,,,,,,,Toeslope,July_2_18,0-5,18.6,0.71,3.49,,Floodplain,April_16_18,>15,24.2,-1.18,-0.64
Hillslope,October_17,15 +,,,,,Toeslope,July_2_18,>15,16.9,2.52,5.41,,,,,,,
,,,,,,,,,,,,,,Floodplain,May_22_18,>15,31,-1.81,-4.1
2018,,,,,,,,,,,,,,Floodplain,May_22_18,5-15,26,-1.99,-2.86
Control,April_10_18,5-15,59.1,2.38,-0.79,,,,,,,,,Floodplain,May_22_18,0-5,23.7,-3.67,-2.24
Control,April_10_18,>15,48.7,2.31,1.27,,,,,,,,,,,,,,
Control,April_10_18,5-15,29.5,-0.19,0.99,,,,,,,,,Floodplain,July_2_18,>15,23.5,-6,-4.15
Snowmelt,April_10_18,5-15,50.7,2.77,-0.32,,,,,,,,,Floodplain,July_2_18,5-15,20.9,-0.71,-2.9
Snowmelt,April_10_18,5-15,40,0.1,0.03,,,,,,,,,,,,,,
Snowmelt,April_10_18,5-15,29.1,-1.52,1.02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Control,April_16_18,5-15,38.8,-2.86,-1.37,,,,,,,,,,,,,,
Control,April_16_18,5-15,38.1,1.02,-1.9,,,,,,,,,,,,,,
Control,April_16_18,>15,28.6,2.73,2.5,,,,,,,,,,,,,,
Snowmelt,April_16_18,5-15,55.6,,,,,,,,,,,,,,,,
Snowmelt,April_16_18,5-15,38.8,-1.9,-2.29,,,,,,,,,,,,,,
Snowmelt,April_16_18,>15,55.5,1.88,0.07,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Control,April_23_18,0-5,12.1,-0.91,2.5,,,,,,,,,,,,,,
Control,April_23_18,5-15,21.9,0.25,1.86,,,,,,,,,,,,,,
Control,April_23_18,>15,20.9,-7.83,2.89,,,,,,,,,,,,,,
Control,April_23_18,5-15,20.5,-12.47,-0.97,,,,,,,,,,,,,,
Snowmelt,April_23_18,0-5,22.8,-5.32,2.46,,,,,,,,,,,,,,
Snowmelt,April_23_18,>15,30.8,1.95,2.69,,,,,,,,,,,,,,
Snowmelt,April_23_18,5-15,27.9,1.17,1.04,,,,,,,,,,,,,,
Snowmelt,April_23_18,5-15,21.6,-4.28,-0.69,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Control,May_15_18,0-5,73.5,-4.72,-1.35,,,,,,,,,,,,,,
