Lysimeters,Date,Nitate conc. (uM),15N,18O
Hillslope,,,,
A 1-1-5',July '17,64.88,5.16,3.26
A 1-2-5',July '17,100.56,4.43,2.98
B 2-1-5',July '17,51.48,2.91,-6.10
,,,,
"C 2-2-10""",October '17,184.17,4.77,2.21
,,,,
"A 1-1-10""",Apr-18,30.2,2.3,-4.4
A 1-1-5',Apr-18,26.7,5.5,-3.9
A 1-2-2',Apr-18,34.2,2.4,-2.4
A 1-2-5',Apr-18,20.7,6.2,-3.2
"B 2-1-10""",Apr-18,20.2,2.1,-0.8
C 2-2-5',Apr-18,104.5,2.4,-10.8
,,,,
"B 2-1-10""",May-9-18,15.8,4.95,1.47
B 2-1-2',May-9-18,23.2,4,-6.6
B 2-1-5',May-9-18,26.5,6.1,-0.4
B 1-2-5',May-9-18,50.3,3.8,-7.1
"B 2-2-10""",May-9-18,49.4,-0.3,-6.1
B 2-2-5',May-9-18,49.8,3.2,-8.4
"C 1-1-10""",May-9-18,129.5,2.6,-4.2
C 1-1-5',May-9-18,91.9,2,-6
,,,,
B 1-1-2',May-16-2018,40.9,2.2,-4.5
B 1-1-5',May-16-2018,75,5.7,-8.6
B 2-1-2',May-16-2018,16.8,6.1,-8.6
B 2-1-5',May-16-2018,26.8,6.1,-1.5
"C 1-1-10""",May-16-2018,59.6,3.7,-3.8
C 1-1-5',May-16-2018,91.2,1.2,-7
C 1-2-5',May-16-2018,34.9,3.4,-8
"C 2-2-10""",May-16-2018,80.4,6.3,-5
C 2-2-5',May-16-2018,54.1,2,-8.4
,,,,
"B 1-1-10""",May-23-2018,22.5,3.2,-7.6
B 1-1-2',May-23-2018,51.2,1.7,-4.9
B 1-1-5',May-23-2018,69.4,2.9,-6
"B 2-1-10""",May-23-2018,12.5,4.5,-5.9
B 2-1-2',May-23-2018,18.9,6.3,-8.5
B 2-1-5',May-23-2018,29.7,4.6,-7.7
"C 1-1-10""",May-23-2018,50.8,3.4,-4.6
C 1-1-2',May-23-2018,61.3,1.6,-6.1
C 1-1-5',May-23-2018,106.5,0.4,-7.2
C 2-1-5',May-23-2018,47.3,2.5,-8.5
,,,,
,,,,
Toeslope,,,,
"TS-10""",October '17,838.58,5.00,3.09
,,,,
"TS-10""",May-10-2018,82.2,3.5,-8.5
TS-3',May-10-2018,165.1,6.7,-1.8
,,,,
"TS-10""",May-23-2018,114.2,5.6,-5.8
TS-3',May-23-2018,21.9,10.74,8.05
,,,,
,,,,
Floodplain,,,,
"FP-10""",October '17,318.91,4.18,5.57
FP-3',October '17,49.41,-0.34,-2.92
,,,,
FP_1-3',April-21-2018,12.8,16.5,31.4
,,,,
"FP-3-10""",May-9-2018,22.6,-3.91,-2.24
,,,,
"FP_3-10""",May-23-2018,33.3,2.2,-5.4
