PLM1,,,,,,,,PLM2,,,,,,,,PLM3,,,,,,,,PLM4,,,,,,
Depth (m),Year,Month,Day,NO3 (uM),15N-NO3,18O-NO3,,Depth (m),Year,Month,Day,NO3 (uM),15N-NO3,18O-NO3,,Depth (m),Year,Month,Day,NO3 (uM),15N-NO3,18O-NO3,,Depth (m),Year,Month,Day,NO3 (uM),15N-NO3,18O-NO3
1.05,2017,5,17,738.20,11.58,0.69,,1.7,2017,5,15,88.02,7.92,3.58,,1.05,2017,5,15,1446.65,8.25,-1.97,,0.2,2017,7,15,31.67,3.68,-8.94
,2017,6,13,75.92,16.69,1.45,,,2017,7,15,5.03,3.40,-5.66,,,2017,7,15,93.32,18.84,4.63,,,2017,10,4,3.26,-6.79,-0.58
,2017,7,15,23.22,4.95,-10.69,,,2017,8,16,37.55,1.40,-9.76,,,2017,8,16,63.50,7.38,-6.12,,,2017,10,28,6.33,-4.59,-3.84
,2018,6,21,654.20,26.78,0.53,,,2017,10,4,420.27,3.00,-2.13,,,2018,5,18,268.82,13.70,-5.32,,,2018,6,21,0.01,5.31,21.38
2.05,2017,5,17,406.83,8.38,6.01,,,2017,10,28,426.99,2.00,-5.16,,,2018,6,21,565.40,13.20,-5.47,,,,,,,,
,2017,6,13,540.29,4.59,1.41,,,2017,12,16,436.64,2.24,-6.19,,,2018,7,18,436.55,13.42,-8.37,,,,,,,,
,2017,7,15,335.70,8.69,3.87,,,2018,2,2,392.86,2.71,-6.60,,2.06,2017,5,15,27.58,20.63,6.39,,,,,,,,
,2017,10,28,71.28,7.21,-7.72,,,2018,6,21,202.34,4.10,-2.79,,,2018,5,18,372.27,14.37,-1.55,,,,,,,,
,2018,5,18,165.03,4.41,-8.50,,,2018,7,18,187.25,3.75,-1.27,,,2018,6,21,66.40,14.80,-2.04,,,,,,,,
,2018,6,21,136.76,8.71,-5.37,,,2018,8,23,295.35,5.17,-6.04,,,2018,7,18,12.90,33.58,-2.26,,,,,,,,
,2018,7,18,98.35,6.45,-4.74,,,2018,9,27,320.35,4.11,-6.90,,,2018,9,27,1.91,9.18,-9.52,,,,,,,,
,2018,8,23,28.49,12.33,-4.24,,2.65,2017,5,15,745.28,7.37,4.76,,3.70,2018,6,21,0.33,-1.15,21.86,,,,,,,,
,2018,9,27,61.07,10.47,-4.61,,,2017,6,13,558.64,15.16,14.11,,6.50,2018,7,18,0.80,-4.85,5.98,,,,,,,,
4.72,2018,6,21,0.66,-3.21,-29.21,,,2017,7,15,336.19,9.82,5.26,,,2018,9,27,0.55,5.17,15.89,,,,,,,,
,2018,7,18,0.22,3.65,-29.57,,,2017,8,16,269.99,9.48,5.60,,,,,,,,,,,,,,,,
,2018,8,23,0.40,-2.30,-21.43,,,2018,6,21,225.08,1.49,-7.69,,,,,,,,,,,,,,,,
6.72,2018,7,18,0.47,6.49,19.33,,3.80,2017,6,13,6.97,14.10,-1.63,,,,,,,,,,,,,,,,
,,,,,,,,,2017,7,15,11.24,10.69,4.53,,,,,,,,,,,,,,,,
,,,,,,,,,2018,6,21,0.40,1.24,11.32,,,,,,,,,,,,,,,,
,,,,,,,,,2018,7,18,0.24,10.99,7.75,,,,,,,,,,,,,,,,
,,,,,,,,4.6,2018,6,21,0.2,-3.6,17.9,,,,,,,,,,,,,,,,
,,,,,,,,8.2,2018,7,18,0.58,39.51,-2.42,,,,,,,,,,,,,,,,
