Site,Date,Nitrate conc. (uM) ,15N,18O
,,,,
East River Meander C Upstream,May-17,43,4.67,-0.09
,Jun-17,43,0.51,4.13
,Jul-17,40.5,0.77,5.7
,Sep-17,40.1,9.3,13.4
,Oct-17,41.8,5.4,6.44
,Apr-18,14.3,4.5,2.6
,,,,
,,,,
East River Meander C Downstream,May-17,42.8,5.1,0.71
,Jun-17,43,1.3,5.06
,Jul-17,40.5,1.87,6.5
,Sep-17,40.3,10.03,15.9
,Oct-17,41.7,5.2,6
,Apr-18,14.3,5.1,2.3
,May-18,15.6,3.8,9.2
,,,,
,,,,
East River Below RMBL,Jul-17,39.89,3.19,8.22
,Sep-17,43.08,3.03,7.71
,Oct-17,43.08,3.97,2.78
,,,,
,,,,
Copper Creek,Date,Nitrate conc. ,15N,18O
1.1,Sep-17,42.6,1.84,4.44
1.2,Sep-17,,N/A,N/A
1.3,Sep-17,,N/A,N/A
1.4,Sep-17,,N/A,N/A
1.5,Sep-17,41.7,-0.04,-1.52
1.6,Sep-17,44.1,1.17,3.19
1.7,Sep-17,49.7,1.6,1.62
1.8,Sep-17,,N/A,N/A
1.9,Sep-17,42.7,3.10,0.53
1.10,Sep-17,42.7,4.66,6.55
,,,,
,,,,
,Date,Nitrate conc. ,15N,18O
1.1,Oct-17,43.1,3.67,7.3
1.2,Oct-17,,N/A,N/A
1.3,Oct-17,,N/A,N/A
1.4,Oct-17,,N/A,N/A
1.5,Oct-17,44,1.8,1.9
1.6,Oct-17,45.5,3.06,5.94
1.7,Oct-17,55.2,2.11,2.99
1.8,Oct-17,44.9,2.86,8.57
1.9,Oct-17,44.6,2.79,2.65
1.10,Oct-17,45.4,2.87,2.64
,,,,
,,,,
Copper Creek,Date,Nitrate conc. ,15N,18O
1.1,July_18,18.9,,
1.2,July_18,,,
1.3,July_18,19.2,,
1.4,July_18,19.5,,
1.5,July_18,,,
1.6,July_18,18.2,,
1.7,July_18,14.6,,
1.8,July_18,18.5,,
1.9,July_18,18.4,,
1.10,July_18,18.2,,
