Depth: 2.0 m,,,,,Depth: 2.5 m,,,,,Depth: 3.0 m,,,
DATE,[NO3],d15N,d18O,,DATE,[NO3],d15N,d18O,,DATE,[NO3],d15N,d18O
,,,,,2.5_32814,4.3144,3.56,-7.05,,3_032814,4.5356,3.83,-7.24
2_041714,5.1035,-1.86,-8.49,,2.5_41714,4.9828,3.10,-7.09,,3_041714,4.3977,3.85,-7.23
2_042414,4.9621,-1.94,-8.13,,2.5_42414,5.071,3.42,-4.51,,3_042414,3.1353,3.84,-7.35
2_050514,5.6775,-1.85,-7.79,,2.5_5514,6.1382,3.87,-6.38,,3_050514,1.5058,4.03,-7.44
2_050914,5.5607,-1.62,-8.05,,2.5_050914,5.9855,4.16,-8.24,,3_050914,1.4159,4.07,-7.16
2_052314,5.5608,-2.50,-10.06,,2.5_51614,3.8851,3.71,-7.62,,3_051614,1.1979,3.71,-7.92
2_053014,4.0062,-1.39,-9.22,,2.5_52314,2.4845,3.81,-7.74,,3_05231,1.6599,4.76,-6.87
2_6614,1.1678,-0.39,-7.61,,2.5_53014,1.7237,3.98,-7.46,,3_053014,1.1588,6.31,-5.47
2_61714,1.007,2.11,-7.03,,2.5_6614,0.7981,4.39,-5.97,,3_6614,0.4056,8.31,-3.62
2_62014,1.2148,7.94,-3.48,,2.5_61714,0.4367,6.44,-2.16,,3_61714,0.4416,11.11,-1.82
2_71414,5.3543,7.87,-4.45,,2.5_62014,0.909,8.23,-3.77,,3_62014,0.6472,9.72,-2.56
2_72414,5.6191,4.41,-5.82,,2.5_62714,0.5568,7.44,-3.97,,3_62714,0.8737,8.93,-1.71
2_8214,4.4228,2.01,-5.06,,2.5_8814,1.7615,6.63,-1.85,,3_72414,1.3541,11.17,0.50
2_8814,4.2508,2.07,-5.52,,2.5_81514,1.804,6.96,-1.10,,3_080214,1.2154,11.95,2.34
2_81514,4.7945,2.22,-5.32,,,,,,,3_080814,1.1566,14.47,3.51
2_82114,4.196,2.18,-5.31,,,,,,,3_081514,1.3317,14.26,3.47
2_91014,4.6738,2.33,-4.86,,,,,,,3_082114,1.4014,13.48,2.69
2_92514,4.5334,2.49,-4.83,,,,,,,3_091014,1.545,12.57,2.16
2_102414,4.0843,2.59,-4.89,,,,,,,3_092514,2.099,10.48,-0.97
