"Date","AirT","SR","sn","P","SoilT","CLM_ET"
2005-01-20,-0.386729400670377,314.06661876843,0,0,-0.000734142857142631,0.605938
2005-01-21,-0.258471838713152,314.1310498266,0,0,-0.000119428571428345,0.69304
2005-01-22,-0.116926263865283,313.062589601966,0,0,-5.99999999977361e-06,0.601394
2005-01-23,0.0220683680148358,310.922978855398,0,0,-5.99999999977361e-06,0.589926
2005-01-24,0.143108440095629,307.841943031264,0,0,-5.99999999977361e-06,0.607446
2005-01-25,0.23236826760002,303.999000436319,0,0,-5.99999999977361e-06,0.486848
2005-01-26,0.278469270417439,299.601310941052,0,0,-5.99999999977361e-06,0.15671
2005-01-27,0.27300395972043,294.861192339015,2,0,-5.99999999977361e-06,0.532168
2005-01-28,0.210709094728559,289.976929755004,2,0,-0.000829999999999774,0.151427
2005-01-29,0.0893418523900985,285.119846580258,0,0,-0.00250414285714263,0.131589
2005-01-30,-0.0906467171571045,280.429218394282,0,0,-0.00497171428571406,0.108272
2005-01-31,-0.326526256996009,276.015102511159,2,0,-0.00857714285714263,0.556397
2005-02-01,-0.613680240529625,271.967607475585,0,0,-0.0149727142857141,0.091139
2005-02-02,-0.945913131135909,268.369869548465,0,0,-0.0212462857142855,0.099266
2005-02-03,-1.3156579162799,265.311366530383,0,0,-0.0277857142857141,0.566672
2005-02-04,-1.71411195038892,262.898115848728,0,0,-0.0367229999999998,0.13978
2005-02-05,-2.13136157816073,261.256888505655,0,0,-0.0500591428571426,0.123914
2005-02-06,-2.55657076082438,260.531945528439,0,0,-0.0649474285714284,0.121623
2005-02-07,-2.97830470272454,260.87427559078,5,0,-0.0797092857142855,0.827014
2005-02-08,-3.38503492389163,262.424757301126,8,0,-0.0926357142857141,0.565161
2005-02-09,-3.76581283675578,265.293938279173,1,0,-0.107789857142857,0.092782
2005-02-10,-4.11105067385917,269.541834929404,0,0,-0.124644285714285,0.597809
2005-02-11,-4.41331973744002,275.161406453704,0,0,-0.142488285714285,0.190017
2005-02-12,-4.66805614799187,282.068946193584,2,0,-0.155584714285714,0.137157
2005-02-13,-4.87406031014769,290.103373886751,3,0,-0.170852142857143,0.534337
2005-02-14,-5.03369148016924,299.034949356572,3,0,-0.182492428571428,0.515847
2005-02-15,-5.15269188328067,308.582445499854,6,0,-0.188879285714285,0.765958
2005-02-16,-5.23964306957735,318.436406361395,14,0,-0.185518,1.162271
2005-02-17,-5.30510981335567,328.285200656289,6,0,-0.171218428571428,0.160617
2005-02-18,-5.36056053180074,337.840082389662,0,0,-0.148221285714285,0.715382
2005-02-19,-5.41718230417414,346.855601939128,13,0,-0.123981571428571,1.24754
2005-02-20,-5.48472536792059,355.14271758656,14,0,-0.0943969999999997,0.983492
2005-02-21,-5.57051028920408,362.573282571742,9,0,-0.0671055714285712,0.648155
2005-02-22,-5.67871294628006,369.076013849271,4,0,-0.044147714285714,0.151121
2005-02-23,-5.8099908330375,374.625497681038,0,0,-0.0288191428571426,0.908738
2005-02-24,-5.9614717836747,379.226794769549,0,0,-0.022401714285714,0.180552
2005-02-25,-6.12709331658996,382.898835843845,0,0,-0.0206622857142855,0.149905
2005-02-26,-6.29824462779741,385.65988401483,4,0,-0.0198862857142855,0.544538
2005-02-27,-6.46463274026527,387.517633583536,3,0,-0.0202742857142855,0.599673
2005-02-28,-6.61527698131168,388.465561574211,0,0,-0.0213641428571426,0.170434
2005-03-01,-6.73952884187026,388.486061154335,0,0,-0.0189139999999998,0.58732
2005-03-02,-6.82802923292576,387.559642457737,6,0,-0.0161761428571426,0.149548
2005-03-03,-6.87352696253392,385.678508887694,0,0,-0.0134992857142855,0.65404
2005-03-04,-6.87149441188734,382.862156495701,0,0,-0.0106305714285712,0.236995
2005-03-05,-6.82049959003659,379.172373780614,0,0,-0.00753957142857119,0.258062
2005-03-06,-6.72231832956092,374.725327091579,0,0,-0.0041128571428569,0.302453
2005-03-07,-6.58178912606245,369.698732110862,0,0,-0.000306857142856899,0.276535
2005-03-08,-6.40643119585314,364.332580391141,0,0,-5.9999999997562e-06,0.654771
2005-03-09,-6.20585939814495,358.92277513631,0,0,-5.9999999997562e-06,0.318916
2005-03-10,-5.99104660582133,353.807973121214,0,0,-5.9999999997562e-06,0.723925
2005-03-11,-5.77349701973352,349.350663716382,0,0,-5.9999999997562e-06,1.105317
2005-03-12,-5.5643928992518,345.914057754491,0,0,-5.9999999997562e-06,0.925166
2005-03-13,-5.37377353280954,343.83664016949,0,0,-5.9999999997562e-06,0.90267
2005-03-14,-5.20980472080223,343.406759271855,0,0,-5.9999999997562e-06,0.197376
2005-03-15,-5.07819266317377,344.839986651008,0,0,-5.9999999997562e-06,0.124612
