"Date","AirT","SR","sn","P","SoilT","CLM_ET"
2005-01-01,-8.48273200212316,286.445001816067,0,0,-1.83060300000001,0.468876
2005-01-02,-8.17074871398735,287.404144110335,0,0,-1.72392228571429,0.460783
2005-01-03,-7.82392890553751,288.264132542101,0,0,-1.64791600000001,0.417312
2005-01-04,-7.46676168873828,289.170653379259,5,0,-1.59642414285715,0.71847
2005-01-05,-7.12378172290772,290.268553192775,6,0,-1.56376600000001,0.261133
2005-01-06,-6.8178547087501,291.67703286598,0,0,-1.55001557142858,0.022884
2005-01-07,-6.56854661096345,293.469211850129,0,0,-1.54555571428572,0.52693
2005-01-08,-6.39070916882352,295.658970004833,0,0,-1.54018028571429,0.140661
2005-01-09,-6.29340440992055,298.196497497729,12,0,-1.52189142857144,0.430573
2005-01-10,-6.27926839352925,300.972601373648,12,0,-1.48700557142858,0.502074
2005-01-11,-6.34439149392521,303.83055099882,0,0,-1.43858300000001,1.117821
2005-01-12,-6.47875865842676,306.583060255303,13,0,-1.38530371428572,0.086453
2005-01-13,-6.66723679124894,309.031312397918,0,0,-1.33018028571429,0.029838
2005-01-14,-6.89103708250915,310.983259721983,0,0,-1.27403671428572,0.022817
2005-01-15,-7.12952007611119,312.269099552856,0,0,-1.22540471428572,0.495361
2005-01-16,-7.36216776730766,312.752728746152,0,0,-1.19223657142858,0.04867
2005-01-17,-7.57052148399029,312.338807958352,0,0,-1.17995100000001,0.049342
2005-01-18,-7.73986978413109,310.975730362835,0,0,-1.18959014285715,0.049262
2005-01-19,-7.86048465258635,308.655283994807,0,0,-1.21402600000001,0.076767
2005-01-20,-7.928257980755,305.41022028588,0,0,-1.24137414285715,0.060909
2005-01-21,-7.9446702125042,301.310817404745,0,0,-1.26476357142858,0.060234
2005-01-22,-7.91611828528738,296.461290471502,0,0,-1.28171828571429,0.064758
2005-01-23,-7.85270936870652,290.996521346898,0,0,-1.29212042857144,0.073726
2005-01-24,-7.76668967287115,285.079168025793,0,0,-1.29700757142858,0.060721
2005-01-25,-7.67072660939581,278.896924936594,0,0,-1.29819771428572,0.486354
2005-01-26,-7.57627856538329,272.659726224717,0,0,-1.29873385714287,0.584823
2005-01-27,-7.49225729685084,266.596445011714,5,0,-1.29954471428572,0.636731
2005-01-28,-7.42412477526485,260.950488098866,4,0,-1.30158071428572,0.519524
2005-01-29,-7.37348129127592,255.973616276726,0,0,-1.30487228571429,0.911812
