"Date","AirT","SR","sn","P","SoilT","CLM_ET"
2005-01-01,-7.38665202840488,251.263845078333,5,0,-0.0799230000000082,0.484133
2005-01-02,-7.48060608311925,253.397432829237,0,0,-0.0777824285714368,1.404666
2005-01-04,-7.47883990271312,255.504760721884,11,0,-0.0756374285714368,0.100446
2005-01-05,-7.3907021248436,257.502501622716,14,0,-0.0758030000000082,0.469492
2005-01-06,-7.23127142636849,259.344375535003,8,0,-0.0762825714285796,1.08035
2005-01-07,-7.02034447626958,261.020405377887,13,0,-0.0770020000000082,0.578292
2005-01-08,-6.78088858946373,262.549888558907,33,0,-0.0762738571428653,0.140085
2005-01-09,-6.53709727237031,263.969223311312,35,0,-0.0743687142857225,0.478712
2005-01-10,-6.3122478493683,265.31682840644,38,0,-0.0713737142857225,0.545132
2005-01-11,-6.12659706603188,266.617652255966,40,0,-0.0655230000000082,0.335688
2005-01-12,-5.99555748510916,267.869816584176,26,0,-0.0615557142857225,0.533044
2005-01-13,-5.92836745052316,269.035637086914,0,0,-0.0580068571428653,0.059502
2005-01-14,-5.92741900990421,270.038621568573,0,0,-0.0545540000000082,0.923871
2005-01-15,-5.98833217684861,270.767132682834,0,0,-0.0525485714285796,0.660353
2005-01-16,-6.10076864380434,271.084158836159,0,0,-0.0517900000000082,0.102737
2005-01-18,-6.24987673964321,270.841604419648,0,0,-0.0577584285714368,1.243977
2005-01-19,-6.41817573457568,269.89728643588,0,0,-0.0605181428571511,0.212813
2005-01-20,-6.58763427888871,268.132634824935,0,0,-0.0632211428571511,0.137843
2005-01-21,-6.74168167296677,265.469079440654,0,0,-0.0659938571428653,0.146118
2005-01-23,-6.86690455576879,261.881319070187,0,0,-0.0712560000000082,0.177712
2005-01-24,-6.95422917212837,257.40628237768,0,0,-0.0734052857142939,0.11815
2005-01-25,-6.99946293524649,252.147449698857,0,0,-0.0749572857142939,0.523019
2005-01-26,-7.00317067071609,246.274738533285,0,0,-0.0767317142857225,0.104758
2005-01-28,-6.96995744395299,240.02012394084,3,0,-0.0808298571428653,0.091538
2005-01-29,-6.90730548572779,233.66932666019,0,0,-0.0828004285714368,0.49423
2005-01-30,-6.82415902746943,227.550110085572,0,0,-0.0849148571428653,0.500396
