"Date","AirT","Precip","SR","sn","P","SoilT","CLM_ET"
2005-01-01,-8.32028959022171,4,255.729446064141,4,0,-0.205646428571412,0.353197000000003
2005-01-02,-8.55887002864447,0,262.505289462725,0,0,-0.189807857142841,0.395321285714289
2005-01-03,-8.89836930190646,4,267.978247158923,4,0,-0.181759857142841,0.446860000000003
2005-01-04,-9.30893802752249,3,271.717831855776,3,0,-0.177578999999984,0.446701571428574
2005-01-05,-9.75210796521852,0,273.333158802881,0,0,-0.176602428571412,0.318534285714288
2005-01-06,-10.1844597064148,0,272.608127565896,0,0,-0.177814428571412,0.275838571428574
2005-01-07,-10.5625377181276,3,269.547307669425,3,0,-0.183503857142841,0.330967142857146
2005-01-08,-10.848041632313,8,264.369465103827,8,0,-0.189908142857127,0.390069142857146
2005-01-09,-11.0120889255327,19,257.443398583924,19,0,-0.195056857142841,0.62458285714286
2005-01-10,-11.0395285977781,27,249.329826857858,27,0,-0.198448714285698,0.600278000000003
2005-01-11,-10.9317588759785,18,240.74540370084,18,0,-0.199307571428555,0.673211571428574
2005-01-12,-10.7067675883347,6,232.453810912121,6,0,-0.199377428571412,0.705536142857146
2005-01-13,-10.3961975877398,0,225.114773606237,0,0,-0.197358999999984,0.694087000000003
2005-01-14,-10.0398005932902,3,219.124698042483,3,0,-0.191625999999984,0.584568571428574
2005-01-15,-9.67930454147501,0,214.605628607129,0,0,-0.186219999999984,0.560853428571431
2005-01-16,-9.35302042516293,8,211.482929731661,8,0,-0.182618999999984,0.322602428571432
2005-01-17,-9.0907360028559,0,209.471577318975,0,0,-0.182418428571412,0.327217285714289
2005-01-18,-8.91010760822441,2,208.150984708753,2,0,-0.185566142857127,0.257692571428574
2005-01-19,-8.81518329947551,0,207.079240792528,0,0,-0.189956285714269,0.220863285714289
2005-01-20,-8.79769058810524,0,205.912108050218,0,0,-0.193666285714269,0.161318428571431
2005-01-21,-8.84082312641836,0,204.572475754151,0,0,-0.195976999999984,0.161625428571432
2005-01-22,-8.92318251748841,0,203.244267269591,0,0,-0.196888142857127,0.13557085714286
2005-01-23,-9.02199763703894,0,202.279907181533,0,0,-0.196539285714269,0.12047585714286
2005-01-24,-9.11566821647438,0,202.190991848636,0,0,-0.192000857142841,0.102256571428574
2005-01-25,-9.18523106868732,0,203.550044624265,0,0,-0.178790999999984,0.107150571428574
2005-01-26,-9.21521007403373,0,206.935300767539,0,0,-0.162154571428555,0.127835571428574
2005-01-27,-9.19349718229644,0,212.819515677992,0,0,-0.142989571428555,0.136418714285717
2005-01-28,-9.11001580973909,0,221.449062890463,0,0,-0.124591714285698,0.140897714285717
2005-01-29,-8.95607272479999,0,232.839554947345,0,0,-0.110156999999984,0.128439714285717
2005-01-30,-8.72471079227187,0,246.8133515797,0,0,-0.103491142857127,0.103614285714289
2005-01-31,-8.41223257316249,0,262.983947164873,0,0,-0.104023142857127,0.0820224285714315
2005-02-01,-8.02052291137191,0,280.829654310705,0,0,-0.116452571428555,0.0681414285714315
2005-02-02,-7.55866390704548,0,299.679514488012,0,0,-0.137513999999984,0.0577381428571458
2005-02-03,-7.04347040773822,0,318.833438448267,0,0,-0.164761857142841,0.0639194285714315
2005-02-04,-6.49986400224391,0,337.639888141847,0,0,-0.189694714285698,0.0692514285714315
2005-02-05,-5.95990191161841,0,355.535669661452,0,0,-0.210668999999984,0.0732902857142886
2005-02-06,-5.46032690460602,0,372.075635152021,0,0,-0.224454285714269,0.0772914285714315
2005-02-07,-5.03828974321918,0,386.991705836855,0,0,-0.235453571428555,0.0778417142857172
2005-02-08,-4.72608351962187,0,400.166597251146,0,0,-0.244927142857127,0.19663885714286
2005-02-09,-4.54688097646384,5,411.651335752961,5,0,-0.251270428571412,0.200597714285717
2005-02-10,-4.5123694209045,0,421.564348188256,0,0,-0.256593571428555,0.281909571428574
2005-02-11,-4.62127174901609,6,430.03491402392,6,0,-0.264571857142841,0.358146714285717
2005-02-12,-4.85930607144977,6,437.16413399179,6,0,-0.273116714285698,0.464462000000003
2005-02-13,-5.20088568538614,7,442.973903730589,7,0,-0.280519285714269,0.644292000000003
2005-02-14,-5.61298013582771,14,447.338942107456,14,0,-0.284486571428555,0.808677428571431
2005-02-15,-6.06025763074904,12,450.025251383353,12,0,-0.28312628571427,0.713469428571431
2005-02-16,-6.5096345910292,0,450.749140239187,0,0,-0.278784142857127,0.701103000000003
2005-02-17,-6.9333440998223,0,449.240435532815,0,0,-0.272876714285698,0.680237000000003
2005-02-18,-7.31112674140871,5,445.300553340871,5,0,-0.267008571428555,0.663206000000003
2005-02-19,-7.63149708029812,3,438.838674361874,3,0,-0.261689857142841,0.66197285714286
2005-02-20,-7.89164166291251,6,429.960468852265,6,0,-0.257356428571412,0.493983714285717
2005-02-21,-8.09575092010976,0,419.073957279706,0,0,-0.25466228571427,0.427659571428574
2005-02-22,-8.2521462145874,6,406.815065151426,6,0,-0.254317857142841,0.409191428571431
2005-02-23,-8.37070650834256,0,393.921009103351,0,0,-0.253816428571412,0.41504085714286
2005-02-24,-8.46105789254472,0,381.201356577618,0,0,-0.252896571428555,0.34766185714286
2005-02-25,-8.53124760941439,0,369.494805735706,0,0,-0.251601714285698,0.28308885714286
2005-02-26,-8.58663907045528,0,359.641768310824,0,0,-0.24965728571427,0.180373571428574
2005-02-27,-8.62952936276546,0,352.371464270841,0,0,-0.247895999999984,0.17716685714286
2005-02-28,-8.65926187217905,0,348.139513298032,0,0,-0.246417999999984,0.123602285714289
2005-03-01,-8.6733716393679,3,347.175724400548,3,0,-0.245458857142841,0.198724000000003
2005-03-02,-8.66859046825722,0,349.585006247398,0,0,-0.245171142857127,0.20941485714286
2005-03-03,-8.64171178675546,0,355.350032724461,0,0,-0.24491828571427,0.212775000000003
2005-03-04,-8.59038113371124,0,364.309918486346,0,0,-0.244451857142841,0.217959571428574
2005-03-05,-8.51394826985349,0,376.09853037425,0,0,-0.243780428571412,0.227537285714289
2005-03-06,-8.4137901724621,0,390.163146308087,0,0,-0.242415857142841,0.236700428571431
2005-03-07,-8.29369140409177,3,405.874695067533,3,0,-0.240174999999984,0.276584285714289
2005-03-08,-8.15914924903733,5,422.548128755877,5,0,-0.237642142857127,0.30527685714286
2005-03-09,-8.01652585232338,0,439.416528827275,0,0,-0.234921714285698,0.311419571428574
2005-03-10,-7.87197511241058,0,455.626346165289,0,0,-0.231900428571412,0.310982714285717
2005-03-11,-7.73019320181211,0,470.31279823883,0,0,-0.228717857142841,0.300399428571431
2005-03-12,-7.59339645895836,0,482.745713095735,0,0,-0.225103714285698,0.295230000000003
2005-03-13,-7.46120876505531,0,492.428154935444,0,0,-0.221480857142841,0.272814000000003
2005-03-14,-7.33065729415458,0,499.131076337241,0,0,-0.22027328571427,0.187950571428574
2005-03-15,-7.19716699674449,5,502.855048491701,5,0,-0.221912428571412,0.182455000000003
2005-03-16,-7.05602470059238,7,503.812744689713,7,0,-0.226838857142841,0.292352428571431
2005-03-17,-6.90401533374693,7,502.467971678468,7,0,-0.233766428571412,0.406671285714289
2005-03-18,-6.74146826577355,5,499.460462902363,5,0,-0.241264999999984,0.513053000000003
2005-03-19,-6.57368315922781,4,495.47869340156,4,0,-0.249940714285698,0.579337000000003
2005-03-20,-6.4107939718994,11,491.147545665497,11,0,-0.259156999999984,0.742204285714289
2005-03-21,-6.26694872034605,13,486.863235556614,13,0,-0.264741714285698,0.93188685714286
2005-03-22,-6.15867113192626,2,482.774463021361,2,0,-0.265770571428555,0.894357571428574
2005-03-23,-6.10240631029582,0,478.844862259774,0,0,-0.263520999999984,0.79252985714286
2005-03-24,-6.11196865251717,3,474.82501338728,3,0,-0.259610428571412,0.737122285714289
2005-03-25,-6.1951419051585,0,470.354875944548,0,0,-0.255725999999984,0.642223285714289
2005-03-26,-6.35095283427817,0,465.077836615697,0,0,-0.251540714285698,0.570747285714289
2005-03-27,-6.56914848404995,0,458.753043374785,0,0,-0.247769571428555,0.426511142857146
2005-03-28,-6.83098241379011,0,451.524436246803,0,0,-0.245995142857127,0.281713285714289
2005-03-29,-7.11098479375084,0,443.96263461653,0,0,-0.24158328571427,0.231405428571432
2005-03-30,-7.37994373092838,7,436.919474028679,7,0,-0.23357028571427,0.340094000000003
2005-03-31,-7.60824571394566,5,431.470887130363,5,0,-0.224606857142841,0.383896571428574
