"Date","AirT","Precip","SR","sn","P","SoilT","CLM_ET"
2005-01-01,-6.46640345558207,0,210.212631867088,0,0,-0.0177804285714415,0.311947142857144
2005-01-02,-6.11721117024311,0,210.932554584282,0,0,-0.0142970000000129,0.298541142857144
2005-01-03,-5.76131787921711,0,212.530406097283,0,0,-0.0147155714285843,0.387191857142858
2005-01-04,-5.42004365309898,5,215.065881649692,5,0,-0.0191667142857272,0.507587714285716
2005-01-05,-5.11339314103943,10,218.5005210761,10,0,-0.0270054285714415,0.431756142857144
2005-01-06,-4.85881882876048,0,222.69995193243,0,0,-0.0348964285714415,0.310169857142858
2005-01-07,-4.67010880836503,0,227.450971369181,0,0,-0.0405727142857272,0.34004842857143
2005-01-08,-4.55646347797362,3,232.489519482116,3,0,-0.0435417142857272,0.38546042857143
2005-01-09,-4.52182549629332,4,237.533617968777,4,0,-0.0433194285714415,0.450159285714287
2005-01-10,-4.56452987585473,2,242.316646836556,2,0,-0.0417760000000129,0.34289342857143
2005-01-11,-4.67734930733703,0,246.617442093842,0,0,-0.0374120000000129,0.310410571428573
2005-01-12,-4.84799317320012,10,250.282362357352,10,0,-0.0310162857142986,0.348513714285716
2005-01-13,-5.06007850178054,0,253.235778442313,0,0,-0.0268091428571557,0.346467714285716
2005-01-14,-5.2945394261782,0,255.478610137631,0,0,-0.0255840000000129,0.282864285714287
2005-01-15,-5.53137285844114,0,257.076830787398,0,0,-0.0225234285714415,0.231505857142858
2005-01-16,-5.75155864629401,0,258.143667127456,0,0,-0.02182585714287,0.21963242857143
2005-01-17,-5.9389411521503,3,258.818060571393,3,0,-0.0236744285714415,0.228841714285716
2005-01-18,-6.08182599389443,0,259.241083534371,0,0,-0.0252570000000129,0.146350285714287
2005-01-19,-6.17405949609413,0,259.534206436619,0,0,-0.0238140000000129,0.0807615714285727
2005-01-20,-6.21542052610069,0,259.782663790133,0,0,-0.0201301428571557,0.105490000000001
2005-01-21,-6.21125137586834,0,260.026617120006,0,0,-0.0149814285714415,0.140901571428573
2005-01-22,-6.17137075875275,0,260.260612083578,0,0,-0.01029485714287,0.199463142857144
2005-01-23,-6.1084180963055,0,260.439596232381,0,0,-0.00570414285715575,0.210704285714287
2005-01-24,-6.03587272879969,0,260.4905637506,0,0,-0.00178042857144146,0.309147714285715
2005-01-25,-5.9660478553999,0,260.329718371896,0,0,-6.0000000128893e-06,0.376013571428573
2005-01-26,-5.90835845851401,0,259.882582174133,0,0,-6.0000000128893e-06,0.476587857142858
2005-01-27,-5.8681036183457,0,259.104475731257,0,0,-6.0000000128893e-06,0.522985714285715
2005-01-28,-5.84590302547181,0,257.996901124605,0,0,-8.01428571557464e-05,0.645196571428573
2005-01-29,-5.83781335210011,12,256.617586348605,12,0,-0.000363571428584318,0.819712714285716
2005-01-30,-5.83604662031824,21,255.084887197325,21,0,-0.00122685714287003,0.924249142857144
2005-01-31,-5.83012136932394,12,253.576228008569,12,0,-0.00292271428572717,0.84850742857143
2005-02-01,-5.80823367289076,1,252.318982598016,1,0,-0.00414785714287003,0.832156285714287
2005-02-02,-5.7586372142644,4,251.573973013123,4,0,-0.00519414285715575,0.762277857142859
2005-02-03,-5.67086351785109,0,251.612652440219,0,0,-0.00687257142858432,0.705681571428573
2005-02-04,-5.53668258825042,0,252.692032769219,0,0,-0.00734342857144146,0.558349714285716
2005-02-05,-5.35077328403382,0,255.029961311765,0,0,-0.00706000000001289,0.33480142857143
2005-02-06,-5.11112653448799,0,258.78066840469,0,0,-0.00619671428572718,0.183839714285716
2005-02-07,-4.81924273213049,0,264.01274965086,0,0,-0.00452271428572718,0.297805142857144
2005-02-08,-4.48017977054691,10,270.69367438703,10,0,-0.00441800000001289,0.335848571428573
2005-02-09,-4.10248158237751,7,278.684402948172,7,0,-0.00458371428572718,0.346188285714287
2005-02-10,-3.69798756775324,0,287.745916780133,0,0,-0.0041782857142986,0.345941857142859
2005-02-11,-3.28148977487936,0,297.556583965349,0,0,-0.00382514285715575,0.351741857142859
2005-02-12,-2.87018606539931,0,307.738960772458,0,0,-0.00382514285715575,0.366942142857144
2005-02-13,-2.48288150548724,0,317.895583490224,0,0,-0.00382514285715575,0.383473571428573
2005-02-14,-2.13891859778483,0,327.649504640321,0,0,-0.00380328571429861,0.389517571428573
2005-02-15,-1.8568773294541,7,336.683374291676,7,0,-0.00268285714287003,0.40114042857143
2005-02-16,-1.65314863303298,6,344.770353183054,6,0,-0.00147085714287003,0.386839000000001
2005-02-17,-1.5405208201091,0,351.792169894507,0,0,-0.000197857142870033,0.37872742857143
2005-02-18,-1.52694265967353,0,357.741940719207,0,0,-6.00000001289035e-06,0.378146857142859
2005-02-19,-1.61462695887384,0,362.71139309059,0,0,-6.00000001289035e-06,0.44881942857143
2005-02-20,-1.79963428671941,3,366.863385154149,3,0,-6.00000001289035e-06,0.50975742857143
2005-02-21,-2.07201789297299,3,370.395325146527,3,0,-6.00000001289035e-06,0.416174571428573
2005-02-22,-2.41652816810156,2,373.500047894112,2,0,-6.00000001289035e-06,0.304798142857144
2005-02-23,-2.81379344230617,0,376.331315235344,0,0,-6.00000001289035e-06,0.304821285714287
2005-02-24,-3.24184496072434,0,378.9795412539,0,0,-6.00000001289035e-06,0.304154857142859
2005-02-25,-3.67781937684035,0,381.461697359549,0,0,-6.00000001289035e-06,0.29424142857143
2005-02-26,-4.09966039095341,0,383.726740541439,0,0,0.000822285714272824,0.218681285714287
2005-02-27,-4.48764397938455,0,385.675507896981,0,0,0.00192957142855854,0.152191142857144
2005-02-28,-4.82558946341526,0,387.189247850884,0,0,0.00291914285712997,0.118421571428573
2005-03-01,-5.10167534094289,0,388.161295975356,0,0,0.00494199999998711,0.136080000000001
2005-03-02,-5.30884031011157,0,388.526436628086,0,0,0.00883514285712997,0.153923714285716
2005-03-03,-5.44479026992557,0,388.283449159828,0,0,0.0132732857142728,0.162721142857144
2005-03-04,-5.51166351126927,0,387.507268334159,0,0,0.0180775714285585,0.171695142857144
2005-03-05,-5.51542436466709,0,386.349238560017,0,0,0.0222192857142728,0.184919000000001
2005-03-06,-5.46507401432542,0,385.025677868156,0,0,0.0264438571428443,0.20116142857143
2005-03-07,-5.3717643319964,6,383.799013079554,6,0,0.0314095714285585,0.379888571428573
2005-03-08,-5.24788702903313,6,382.954740675355,6,0,0.0352024285714157,0.488775142857144
2005-03-09,-5.10618916296628,0,382.776929437812,0,0,0.0367588571428442,0.503446714285716
2005-03-10,-4.95895338426625,0,383.524474131896,0,0,0.03841114285713,0.56154942857143
2005-03-11,-4.81727269758067,0,385.40997533133,0,0,0.0397365714285585,0.560517714285716
2005-03-12,-4.69044587513578,7,388.582202369176,7,0,0.04083514285713,0.67400642857143
2005-03-13,-4.58551079461126,15,393.113438885406,15,0,0.0411054285714157,0.867953857142859
2005-03-14,-4.50692743526001,5,398.990597455147,5,0,0.0402595714285585,0.790451857142858
2005-03-15,-4.45641867900434,7,406.110305906488,7,0,0.0391087142857014,0.783808142857144
2005-03-16,-4.43297914483829,6,414.278690279166,6,0,0.0379098571428442,0.868237571428573
2005-03-17,-4.4330607298624,11,423.216799192206,11,0,0.0358869999999871,0.960920857142858
2005-03-18,-4.45093843779567,8,432.572755937287,8,0,0.0338815714285585,1.091438
2005-03-19,-4.47924984128433,3,441.941776238248,3,0,0.0318848571428442,1.02506828571429
2005-03-20,-4.50968474144084,4,450.892647846825,4,0,0.0303067142857014,0.885818857142858
2005-03-21,-4.53378850990942,5,458.999584547676,5,0,0.0293084285714157,0.866912857142858
2005-03-22,-4.54382983037924,0,465.876263898793,0,0,0.0288898571428443,0.767843714285715
2005-03-23,-4.53366528672394,5,471.208583262463,5,0,0.0290249999999871,0.761706285714287
2005-03-24,-4.49951852507262,5,474.782462742431,5,0,0.02954814285713,0.699163285714287
2005-03-25,-4.44058026832646,3,476.502721672444,3,0,0.0302238571428443,0.63298342857143
2005-03-26,-4.35933456952189,3,476.399033097591,3,0,0.03086914285713,0.636395714285716
2005-03-27,-4.26154272900562,0,474.618454999579,0,0,0.0313399999999871,0.579504571428573
2005-03-28,-4.15584792705149,0,471.405483589117,0,0,0.03240814285713,0.552725000000001
2005-03-29,-4.05300174901342,0,467.073746344414,0,0,0.0344877142857014,0.633885142857144
2005-03-30,-3.96476356500177,5,461.973292608023,5,0,0.0365322857142728,0.70651242857143
2005-03-31,-3.9025719311783,5,456.457749296121,5,0,0.03838514285713,0.769538714285715
2005-04-01,-3.8761374416914,5,450.855875718872,5,0,0.0398019999999871,0.816844285714287
2005-04-02,-3.89214347059484,0,445.452460058903,0,0,0.0412014285714157,0.814321000000001
2005-04-03,-3.95323445311841,0,440.480468692679,0,0,0.0433898571428443,0.798641000000001
2005-04-04,-4.05744130258295,0,436.123530786237,0,0,0.0450334285714157,0.835425571428572
2005-04-05,-4.19814426378292,0,432.524542789947,0,0,0.0456655714285585,0.875106857142858
2005-04-06,-4.36460228945582,0,429.797105572253,0,0,0.0464678571428442,0.835156285714287
2005-04-07,-4.54300199236218,0,428.036655697227,0,0,0.0495588571428442,0.77814142857143
2005-04-08,-4.71789346488903,0,427.328525928307,0,0,0.0528504285714157,0.718052428571429
2005-04-09,-4.87380789157213,11,427.749658244929,11,0,0.0559152857142728,0.962299857142858
2005-04-10,-4.99682939123633,26,429.362802566824,26,0,0.05803414285713,1.40764414285714
2005-04-11,-5.0759052716155,13,432.206044371701,13,0,0.0602792857142728,1.58778771428572
2005-04-12,-5.10372110602158,3,436.282473861635,3,0,0.0625637142857014,1.60944985714286
2005-04-13,-5.07703924707401,0,441.553046358413,0,0,0.0647085714285585,1.508166
2005-04-14,-4.99648456456446,0,447.934067177692,0,0,0.0646649999999871,1.45198542857143
2005-04-15,-4.86585808178189,0,455.299468064904,0,0,0.0643292857142728,1.52701585714286
2005-04-16,-4.69113843404384,0,463.48871282808,0,0,0.0643859999999871,1.396158
2005-04-17,-4.47936449026726,0,472.320158978606,0,0,0.0666398571428442,1.092698
2005-04-18,-4.237596009695,0,481.605594503614,0,0,0.0691379999999871,0.88807142857143
2005-04-19,-3.97212054674568,0,491.161398008366,0,0,0.0717625714285585,0.887830000000001
2005-04-20,-3.68801484090382,0,500.814030805231,0,0,0.0757342857142728,1.04924957142857
2005-04-21,-3.38908866312745,7,510.401060504955,7,0,0.0908797142857014,1.25381985714286
2005-04-22,-3.07815157019298,0,519.770812418334,0,0,0.12357714285713,1.25538442857143
2005-04-23,-2.75748188383756,0,528.782134196831,0,0,0.164365999999987,1.17888657142857
2005-04-24,-2.42935675489927,22,537.304580678505,22,0,0.208171857142844,1.44690528571429
2005-04-25,-2.09650150976592,16,545.22141638541,16,0,0.256969428571416,1.67844685714286
2005-04-26,-1.76233927490052,2,552.437249715997,2,2,0.310802428571416,1.707824
2005-04-27,-1.43097080516248,16,558.890029612475,16,16,0.367155285714273,1.85836128571429
2005-04-28,-1.10688770027424,23,564.562956743872,23,23,0.41670714285713,2.00192357142857
2005-04-29,-0.794499671367678,18,569.489650865664,18,18,0.455019714285701,2.18918171428572
2005-04-30,-0.497602457197951,7,573.748830809603,7,7,0.49096514285713,2.28623942857143
2005-05-01,-0.218916000495332,12,577.449320314791,12,12,0.526613999999987,2.10722514285714
2005-05-02,0.0401952853929409,5,580.707476840923,5,5,0.560889714285701,1.96632757142857
2005-05-03,0.279738072732868,3,583.619823823932,3,3,0.592998571428558,1.90322028571429
2005-05-04,0.500805950258662,3,586.234664336206,3,3,0.623572857142844,1.67924285714286
2005-05-05,0.705026870336512,0,588.528983671774,0,0,0.652302857142844,1.44266642857143
2005-05-06,0.893847519008637,0,590.399086594668,0,0,0.675888571428558,1.28168114285714
2005-05-07,1.06780706121263,12,591.670244298117,12,12,0.69382414285713,1.37784185714286
2005-05-08,1.22595153018167,7,592.123361621681,7,7,0.707247571428558,1.41230328571429
2005-05-09,1.36550602527302,0,591.532750011671,0,0,0.716276285714273,1.40487757142857
2005-05-10,1.48188241883804,0,589.708471116354,0,0,0.720701285714273,1.33226685714286
2005-05-11,1.56905435987419,14,586.537127786376,14,14,0.720962857142844,1.49637571428572
2005-05-12,1.62027613169746,8,582.015183524987,8,8,0.718477857142844,1.63832571428572
2005-05-13,1.62905297412446,3,576.267225598946,3,3,0.714933571428558,1.70394414285714
2005-05-14,1.59021477311804,0,569.543312804732,0,0,0.710486714285701,1.47602028571429
2005-05-15,1.5009328967792,0,562.197034312204,0,0,0.70441814285713,1.30756671428572
2005-05-16,1.36154615620853,0,554.650381721768,0,0,0.695881999999987,1.27213485714286
2005-05-17,1.17609121657946,0,547.351814017523,0,0,0.684167571428558,1.39288071428572
2005-05-18,0.952462167756146,0,540.733003064639,0,0,0.668420428571415,1.28436242857143
2005-05-19,0.702156402028685,0,535.168568836987,0,0,0.644860857142844,1.18227342857143
2005-05-20,0.439619300946247,0,530.94461009149,0,0,0.620110999999987,1.04824242857143
2005-05-21,0.181259385313426,0,528.241846197298,0,0,0.592182999999987,1.18923685714286
2005-05-22,-0.0557594269082422,0,527.133397874451,0,0,0.555906285714273,1.333002
2005-05-23,-0.254832120707337,0,527.594160492276,0,0,0.50945414285713,1.48843642857143
2005-05-24,-0.401206099122699,0,529.519537899058,0,0,0.464043999999987,1.56258557142857
2005-05-25,-0.483117345619202,0,532.751203727593,0,0,0.421454571428558,1.60198614285714
2005-05-26,-0.492634041363401,0,537.106994257049,0,0,0.382248285714273,1.60830885714286
2005-05-27,-0.426107764046977,0,542.409722729376,0,0,0.36212414285713,1.72131128571429
2005-05-28,-0.284185227853372,0,548.50966005592,0,0,0.455599571428558,1.68946071428572
2005-05-29,-0.0713850746972989,4,555.299590601658,4,4,0.668856428571415,1.70723957142857
2005-05-30,0.20470723348224,14,562.722164945508,14,14,1.1827157142857,1.90611714285714
2005-05-31,0.534513959309748,6,570.766673680502,0,6,1.87343757142856,2.088087
2005-06-01,0.907647803330184,2,579.454317469073,0,2,2.76187842857142,2.08160828571429
2005-06-02,1.31401882488471,2,588.814148207376,0,2,3.57269114285713,2.11521142857143
2005-06-03,1.74470114901995,4,598.855383212713,0,4,4.28752185714284,2.207183
2005-06-04,2.19243842316251,7,609.540423823829,0,7,4.80972114285713,2.42679
2005-06-05,2.65172306654024,1,620.759976693043,0,1,5.46996885714284,2.47566742857143
2005-06-06,3.11845245952858,0,632.312928893821,0,0,6.04124485714284,2.32441114285714
2005-06-07,3.58925384910448,0,643.898062604421,0,0,6.42006385714284,2.11475085714286
2005-06-08,4.06063838357745,0,655.121211365324,0,0,6.60480414285713,2.27041785714286
2005-06-09,4.52817596949882,4,665.517185692972,0,4,6.82768714285713,2.49922714285714
2005-06-10,4.985870451432,9,674.582081150768,0,9,6.72501728571427,2.75080371428571
2005-06-11,5.42587811914805,7,681.814036599014,0,7,6.79518157142856,2.78969014285714
2005-06-12,5.83865731011355,10,686.761045455,0,10,6.59215242857141,2.87104371428571
2005-06-13,6.21356494228631,8,689.071348135006,0,8,6.15781328571427,2.84432071428571
2005-06-14,6.53981875151828,0,688.536281894211,0,0,5.98580314285713,2.90511628571429
2005-06-15,6.8076703217633,0,685.119206716768,0,0,6.05990428571427,2.77860828571429
2005-06-16,7.00959858433472,3,678.967833928705,0,3,6.29446685714284,2.73302942857143
2005-06-17,7.14133597772312,4,670.409719953912,0,4,7.0727697142857,2.72477242857143
2005-06-18,7.20256296419796,0,659.927853329201,0,0,8.01217499999999,2.98038814285714
2005-06-19,7.19715451954517,0,648.116507057231,0,0,9.05895428571427,3.18915185714286
2005-06-20,7.13293018638952,0,635.622581941689,0,0,10.1087982857143,3.46295357142857
2005-06-21,7.02095227199887,3,623.083538876716,0,3,10.9710768571428,3.84861085714286
2005-06-22,6.87448986282688,3,611.07018764395,0,3,11.5938011428571,4.29108785714286
2005-06-23,6.70780867246885,0,600.040185671636,0,0,12.1561702857143,4.48688914285714
2005-06-24,6.5349597249138,0,590.307011117996,0,0,12.4826604285714,4.45415257142857
2005-06-25,6.36873857397678,3,582.032108306953,0,3,12.407391,4.27504557142857
