"Date","AirT","Precip","SR","sn","P","SoilT","CLM_ET"
2005-01-01,-2.76206342595351,0,254.637520080922,0,0,-0.781574428571452,0.405623571428576
2005-01-02,-2.88773172742654,4,251.653620515264,4,0,-0.620533142857167,0.460134714285719
2005-01-03,-3.12902362111029,14,248.511310763375,14,0,-0.49283028571431,0.581881142857147
2005-01-04,-3.4636014755757,11,245.331112036654,11,0,-0.417744000000024,0.716379428571433
2005-01-05,-3.86006255896782,11,242.155102040819,11,0,-0.391987142857167,0.551906714285718
2005-01-06,-4.28092036481402,0,238.928636877494,0,0,-0.381061857142881,0.462557000000004
2005-01-07,-4.68641042422804,0,235.552519783426,0,0,-0.369678857142881,0.509368714285719
2005-01-08,-5.0390611054918,4,231.873290890703,4,0,-0.380455857142881,0.441060857142861
2005-01-09,-5.30795204379132,0,227.727589694773,0,0,-0.383355000000024,0.453391714285719
2005-01-10,-5.47196321260703,3,222.992991015651,3,0,-0.37804928571431,0.371298714285719
2005-01-11,-5.52279237392587,2,217.610852620935,2,0,-0.351734428571453,0.325003857142861
2005-01-12,-5.46651267754086,6,211.700553340873,6,0,-0.32834928571431,0.340491571428576
2005-01-13,-5.3222424329999,0,205.51246504433,0,0,-0.309315000000024,0.340649857142862
2005-01-14,-5.11879828982826,0,199.355221038856,0,0,-0.288589142857167,0.269212857142861
2005-01-15,-4.88967394537994,0,193.608091866487,0,0,-0.263791428571453,0.266441000000004
2005-01-16,-4.66805285212798,0,188.674909264,0,0,-0.250202428571453,0.196880857142861
2005-01-17,-4.48237129087374,0,184.938180520024,0,0,-0.24908628571431,0.155600428571433
2005-01-18,-4.3522150634515,0,182.73490807402,0,0,-0.259004571428595,0.0706121428571472
2005-01-19,-4.2855952876778,0,182.246159338374,0,0,-0.236016000000024,0.0394231428571472
2005-01-20,-4.2790440207737,0,183.563895995719,0,0,-0.193936571428595,0.0354424285714329
2005-01-21,-4.31974559919766,0,186.757993693107,0,0,-0.14469428571431,0.0768884285714329
2005-01-22,-4.38905558058296,0,191.834545130008,0,0,-0.101381142857167,0.14064028571429
2005-01-23,-4.46578593953204,0,198.732242518001,0,0,-0.0605747142857383,0.186355142857147
2005-01-24,-4.52892289777223,0,207.307336228955,0,0,-0.0259547142857383,0.231921714285719
2005-01-25,-4.5599707604825,0,217.317831855777,0,0,-0.00330185714288111,0.295917857142861
2005-01-26,-4.5448367601935,3,228.469185458443,3,0,-0.0138958571428811,0.44586628571429
2005-01-27,-4.47428792424929,10,240.362706015354,10,0,-0.0374161428571668,0.461614000000004
2005-01-28,-4.34348145755599,0,252.463187957401,0,0,-0.057052000000024,0.601860000000005
2005-01-29,-4.15118488044952,16,264.16878681502,16,0,-0.083781000000024,0.70451628571429
2005-01-30,-3.89958690681608,13,274.846813827575,13,0,-0.11496128571431,0.736655142857147
2005-01-31,-3.59484993497612,4,283.896186112932,4,0,-0.144864142857167,0.748418857142862
2005-02-01,-3.24800253295825,3,290.80435532814,3,0,-0.173193142857167,0.697334000000004
2005-02-02,-2.8751285603788,1,295.196620455765,1,0,-0.189480857142881,0.559197428571433
2005-02-03,-2.49712492243882,0,296.927327899092,0,0,-0.19517028571431,0.551303571428576
2005-02-04,-2.13894508240619,0,296.099482358544,0,0,-0.20500128571431,0.378384857142862
2005-02-05,-1.82824758391491,0,293.012387695606,0,0,-0.203654142857167,0.227462142857147
2005-02-06,-1.59320096218417,0,288.172309156902,0,0,-0.189428571428595,0.294814428571433
2005-02-07,-1.45933454598004,11,282.251728446483,11,0,-0.173332714285738,0.341992857142862
2005-02-08,-1.44587076813237,7,276.043838876661,7,0,-0.157298000000024,0.326106714285719
2005-02-09,-1.56295208629062,0,270.363348604751,0,0,-0.140857714285738,0.33603428571429
