,Neutral mechanism ,,Acid mechanism,,,Additional mechanism,,
Mineral,knu ,Enu ,ka ,Ea,x (b),kex,Eex,"Species involved, aijy"
,(mol kgH2O-1 m-2 s-1),(kJ mol-1),(mol kgH2O-1 m-2 s-1),(kJ mol-1),,(mol kgH2O-1 m-2 s-1),(kJ mol-1),
Goethite (c),1.15 x 10-8,86.5,,,,,,
Calcite (d),1.55 x 10-6,23.5,5.01 x 10-1,14.4,1,3.31 x 10-4,35.4,[CO3-2]
Siderite (e),2.24 x 10-9,48,1.79 x 10-4,48,0.75,,,
Pyrite (f),0,56.9,,,,2.63 x 10-8,56.9,[Fe+3]0.3. [Fe+2]-0.47. [H+]-0.32.
,,,,,,7.94 x 10-8,56.9,[O2]0.5.
,,,,,,,,[H+]-0.11.
SOM (g),1.0 x 10-10 (h),72.3(i),,,,,,
